Team,R,HR,OBP,SLG,K,HR9,ERA,WHIP,TOTAL,CHG
St. CGT VI,12.0,12.0,12.0,12.0,12.0,11.0,9.0,11.0,91.0,1.0
Hornswogglers,11.0,9.0,7.0,8.0,9.0,12.0,12.0,10.0,78.0,0.0
Yoshi Teddy Bear,10.0,10.0,11.0,10.0,11.0,3.0,6.0,6.0,67.0,0.0
Largely Indistinguishables,7.0,4.5,6.0,6.0,10.0,9.0,11.0,12.0,65.5,0.0
Smoak and Mirrors,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,62.0,0.0
The Rime of Jamie Moyer,9.0,11.0,9.0,11.0,4.0,6.0,3.0,4.0,57.0,0.0
Carlos Pérez's K-Dance,4.0,3.0,5.0,4.0,5.0,10.0,10.0,9.0,50.0,0.5
Roar from 34,6.0,6.0,2.0,5.0,6.0,5.0,4.0,3.0,37.0,0.0
🦫 Beavers in Scoring Position!,5.0,4.5,1.0,1.0,7.0,4.0,5.0,5.0,32.5,0.0
Jack Klugman's Second Best Lung,2.0,7.0,10.0,9.0,0.0,0.0,0.0,0.0,28.0,23.0
Chili Dog MVP,1.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,16.0,1.0
Roberto Big Piece and the 69ers,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,7.5
