TEAM,G,R,HR,OBP,SLG,IP,K,HR9,ERA,WHIP
St. CGT VI,1944,1102,329,0.34528,0.46392,1501.2,1676,0.92297,3.41021,1.10277
Hornswogglers,1942,1065,305,0.32517,0.43838,1473.1,1552,0.92240,3.13371,1.11041
Yoshi Teddy Bear,1903,1054,325,0.34071,0.45912,1510.1,1618,1.20371,3.90311,1.24145
Largely Indistinguishables,1896,946,246,0.31915,0.41735,1501.0,1590,0.95936,3.28581,1.05996
Smoak and Mirrors,1852,1004,271,0.32861,0.43053,1500.2,1477,1.09151,3.43647,1.16615
The Rime of Jamie Moyer,1905,1031,326,0.33228,0.45913,1360.0,1299,1.13824,4.28824,1.27059
Carlos Pérez's K-Dance,1793,870,237,0.31720,0.41168,1335.1,1364,0.92336,3.36321,1.11433
Roar from 34,1894,937,252,0.31263,0.41457,1383.0,1365,1.17137,4.21692,1.29429
🦫 Beavers in Scoring Position!,1890,878,246,0.30723,0.39670,1319.0,1432,1.19409,4.01895,1.25095
Jack Klugman's Second Best Lung,1592,852,260,0.33498,0.45177,1106.2,1138,1.00843,3.83042,1.21446
Chili Dog MVP,1695,769,218,0.31695,0.40947,1346.2,1255,1.31658,4.48441,1.33886
Roberto Big Piece and the 69ers,1739,868,215,0.31542,0.41084,1233.1,1237,1.28432,4.40027,1.35243
