Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tommy Pham",,83.9917,345.837,308.999,74.7098,50.614,14.2839,1.04123,8.77069,39.0933,35.8194,31.7075,1.00552,77.4104,2.06609,2.5866,0.477494,7.22156,5.50269,1.75243,0.24178,0.0916835,0.223835,0.409603,0.314118,0.379898,0.304298,0.694016,0.138118,4.3289,0.292537,-0.645732,-0.167576,38.4043,-2.459,93.7448,-0.813308,-1.67473,-3.3701279759407043,-5.563233017921448,0.283532,709.1900024414062,4.45263,-0.527648,0.820058,4.45263,0.527648,3.90659,349.7,4.163095238,349.7,4.163095238,,,,,,,,,,,,,,,,,,,"Tommy Pham","2967",502054
"Nick Loftin","KCR",32.9771,126.799,113.053,26.704,18.7719,5.5139,0.21222,2.206,13.2695,12.5745,11.0357,0.0658755,20.7903,1.22169,1.12477,0.364315,2.73872,1.71405,0.597332,0.236208,0.0870327,0.163962,0.530811,0.308153,0.347274,0.290942,0.655427,0.111066,3.91257,0.268673,0.00750855,-0.106218,12.7058,-2.27656,84.57,-0.0987095,1.60623,-2.411134645342827,0.7792617678642273,0.272107,999,2.49099,0.728263,1.63941,2.49099,-0.728263,2.81411,111.4,3.375757575,111.4,3.375757575,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Owen Caissie","MIA",116.082,427.362,382.701,88.3507,55.8843,19.0499,1.16344,12.2531,46.4443,46.0653,38.5361,1.32566,131.823,2.8532,2.54646,0.725522,5.68828,4.66798,1.61387,0.230861,0.0901721,0.308456,0.292334,0.3041,0.382771,0.300394,0.686871,0.15191,3.92994,0.315533,0.0633481,-0.360731,46.1031,-4.39308,90.0237,-0.297383,0,-5.350483536720276,-6.2243428230285645,0.270475,386.94000244140625,4.2202,0.852658,0.374281,4.2202,-0.852658,4.50096,413.3,3.562931034,413.3,3.562931034,,,,,,,,,,,,,,,,,,,"Owen Caissie","27496",683357
"Jake McCarthy","COL",87.423,340.125,308.004,80.3903,57.0995,13.4567,4.02759,5.8066,40.7117,32.0063,21.6132,0.383946,60.1326,5.03638,2.46208,3.00933,5.48196,13.1672,2.93544,0.261005,0.0635449,0.176796,0.359425,0.317517,0.387404,0.308142,0.704922,0.1264,6.96202,0.305013,0.252137,0.880971,38.8315,-1.35683,83.0192,1.13311,-0.0926547,-5.712154150009155,-3.1488241776823997,0.251182,488.739990234375,3.97011,-1.3788,1.31429,3.97011,1.3788,3.24761,354.2,4.071264367,354.2,4.071264367,,,,,,,,,,,,,,,,,,,"Jake McCarthy","21622",664983
"Jordan Walker","STL",119.268,474.129,430.967,101.948,65.4556,21.3558,1.61748,13.5192,50.065,52.0521,34.612,0.814713,128.072,4.626,3.17144,0.752502,8.99641,8.73803,2.56138,0.236557,0.0730013,0.27012,0.270255,0.298253,0.387725,0.299035,0.685978,0.151168,4.48158,0.302272,-0.0204685,0.0128999,50.6252,-5.39683,90.13,-0.00756852,-2.27629,-5.538507621735334,-8.084798574447632,0.24793,342.54998779296875,3.65157,-0.541835,0.411606,3.65157,0.541835,4.45119,472.8,3.973109243,472.8,3.973109243,,,,,,,,,,,,,,,,,,,"Jordan Walker","27475",691023
"Jake Mangum","PIT",87.8428,357.558,334.276,90.3254,68.7698,17.5966,1.37982,2.57914,36.4205,31.5503,16.4533,0.149369,61.2663,3.20748,2.44834,1.17335,6.54602,15.1276,4.01527,0.270212,0.0460158,0.171346,0.268554,0.308617,0.354256,0.291223,0.662872,0.0840435,5.47516,0.321558,-0.308111,0.798398,35.9104,-6.3378,83.199,0.490287,0.503675,-6.629628390073776,-2.8853235840797424,0.243616,345.8999938964844,4.35737,-0.246446,1.60999,4.35737,0.246446,2.85335,330.4,3.754545454,330.4,3.754545454,,,,,,,,,,,,,,,,,,,"Jake Mangum","26202",663968
"Max Kepler",,40.2303,164.638,147.064,34.4379,21.701,6.84579,0.222189,5.66886,18.3759,19.1279,14.4619,0.495708,33.5163,1.73613,1.18625,0.189823,2.77055,0.936864,0.178482,0.23417,0.0878408,0.203576,0.431489,0.307914,0.399382,0.308216,0.707296,0.165212,2.98782,0.263779,-0.266118,-0.132644,18.8064,-0.646845,96.4365,-0.398762,-0.240036,-1.0921757817268372,-2.10255067050457,0.243231,691.8400268554688,3.67113,1.40432,1.39985,3.67113,-1.40432,3.13354,170,4.25,170,4.25,,,,,,,,,,,,,,,,,,,"Max Kepler","12144",596146
"Jack Suwinski","PIT",51.6629,204.807,178.592,36.6335,21.6562,7.6449,0.482269,6.8501,23.2768,22.4142,22.3171,0.972601,62.4437,2.27011,1.11598,0.5116,2.20209,4.82893,1.17978,0.205124,0.108967,0.304891,0.357396,0.299668,0.368399,0.294114,0.668067,0.163275,4.90044,0.269742,-0.21099,0.183784,21.05,-3.14959,85.1792,-0.0272062,1.29915,-3.6247820928692818,-0.8564208745956421,0.238673,749.739990234375,3.16988,1.02103,1.17123,3.16988,-1.02103,3.43837,195.9,3.767307692,195.9,3.767307692,,,,,,,,,,,,,,,,,,,"Jack Suwinski","22244",669261
"James Outman","MIN",55.4648,208.114,183.902,37.4002,22.1714,7.62012,1.02863,6.58001,24.3657,21.8639,19.53,0.459073,71.7873,3.19536,1.046,0.440152,1.83613,3.87976,1.02527,0.20337,0.0938429,0.344943,0.272054,0.28952,0.363332,0.287795,0.652852,0.159962,5.41253,0.289172,0.0258045,0.0627245,20.322,-4.2682,82.0369,0.088529,1.04012,-4.317566938698292,-0.5132510662078857,0.238605,715.8099975585938,3.82046,1.88506,1.11365,3.82046,-1.88506,3.51513,191.7,3.485454545,191.7,3.485454545,,,,,,,,,,,,,,,,,,,"James Outman","24770",681546
"Nathan Church","STL",40.3543,147.018,132.93,31.72,22.6198,5.88412,0.737703,2.47841,15.66,13.7195,9.11408,0.349061,25.1896,1.90826,1.18612,1.88011,2.54131,3.02195,0.859948,0.238623,0.0619928,0.171337,0.361819,0.294495,0.34992,0.283059,0.644415,0.111298,5.12826,0.274704,-0.00083663,0.0324357,13.7909,-3.58045,79.1553,0.031599,1.96088,-3.5904369316995144,0.9229638576507568,0.236164,685.1900024414062,4.34823,2.02304,1.60501,4.34823,-2.02304,2.85998,124,3.1,124,3.1,,,,,,,,,,,,,,,,,,,"Nathan Church","31357",701675
