Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"A.J. Minter","NYM",3,3,0,3.45072,60,0,2,16,,60,249,48,25,23,7,24,,3,65,9.76806,3.5392,2.75996,1.03607,0.261528,0.0947577,0.16677012294530869,0.215852,1.19438,0.2732,0.750677,,,3.77648,0.480903,0.71145,743.739990234375,,,,,,,356.09999999999997,5.935,332,5.533333333333333,,,,,,,,,,,,,,,,,,,"A.J. Minter","18655",621345
"Justin Slaten","BOS",3,3,0,3.76154,61,0,0,13,,61,258,56,28,25,7,20,,3,60,8.91454,3.02005,2.95178,1.01562,0.234189,0.0793381,0.15485083311796188,0.239002,1.25571,0.293926,0.728069,,,3.75972,0.474999,0.476969,745.77001953125,,,,,,,322.70000000000005,5.29016393442623,317,5.19672131147541,,,,,,,,,,,,,,,,,,,"Justin Slaten","25648",686580
"JoJo Romero","STL",3,3,0,3.71305,64,0,14,9,,64,274,58,29,26,6,25,,3,62,8.68512,3.56648,2.43521,0.881898,0.225405,0.0925607,0.1328439563512802,0.236549,1.30429,0.291839,0.731454,,,3.8069,0.474964,0.604502,450.7099914550781,,,,,,,394.99999999999994,6.171874999999999,388,6.0625,,,,,,,,,,,,,,,,,,,"JoJo Romero","19574",668941
"Blake Treinen","LAD",3,3,0,3.6338,58,0,1,14,,58,245,48,26,23,7,24,,3,67,10.3499,3.6917,2.80356,1.14521,0.272242,0.0971059,0.17513584345579147,0.21793,1.23125,0.278605,0.750411,,,3.85908,0.468344,0.488045,745.030029296875,,,,,,,332.3,5.729310344827587,313,5.396551724137931,,,,,,,,,,,,,,,,,,,"Blake Treinen","12572",595014
"Mark Leiter Jr.","ATH",3,3,0,4.12798,64,0,6,13,,64,274,60,32,29,8,25,,3,65,9.11071,3.50784,2.59724,1.09046,0.23645,0.0910389,0.14541102200746536,0.245002,1.33187,0.302725,0.71492,,,3.9934,0.465279,0.277992,553.0999755859375,,,,,,,347.20000000000005,5.425000000000001,344,5.375,,,,,,,,,,,,,,,,,,,"Mark Leiter Jr.","15551",643410
"Dennis Santana","PIT",4,3,0,3.92116,68,0,26,5,,68,291,63,32,30,8,25,,3,65,8.55179,3.31381,2.58065,1.08041,0.22204,0.0860401,0.13599957525730133,0.238245,1.2892,0.286513,0.72546,,,4.03623,0.465149,0.739885,132.77000427246094,,,,,,,437.00000000000006,6.426470588235295,432,6.352941176470588,,,,,,,,,,,,,,,,,,,"Dennis Santana","17878",642701
"Shawn Armstrong","CLE",4,3,0,3.6425,68,0,3,17,,68,287,59,30,28,8,24,,3,68,8.97827,3.16344,2.83814,1.07367,0.236362,0.0832806,0.15308118611574173,0.228077,1.22381,0.278095,0.739752,,,3.87858,0.46464,0.571197,611.3900146484375,,,,,,,389.4000000000001,5.726470588235295,374,5.5,,,,,,,,,,,,,,,,,,,"Shawn Armstrong","12857",542888
"Kutter Crawford","BOS",2,2,4,4.32664,56,6,0,4,,86,365,82,45,41,13,26,,4,80,8.3349,2.73557,3.04686,1.41372,0.218148,0.0715977,0.1465502306818962,0.24534,1.26036,0.283941,0.706705,,,4.36598,0.456537,0.409016,538.030029296875,,,,,,,349.3,4.061627906976744,347,4.034883720930233,,,,,,,,,,,,,,,,,,,"Kutter Crawford","20531",676710
"Cole Sands","MIN",4,3,0,3.79153,68,0,2,14,,68,288,63,31,29,8,22,,3,67,8.84707,2.84649,3.10806,1.11462,0.232099,0.0746765,0.15742260217666626,0.237405,1.23637,0.287581,0.730246,,,3.85808,0.454603,0.444566,505.45001220703125,,,,,,,366.00000000000006,5.382352941176471,361,5.3088235294117645,,,,,,,,,,,,,,,,,,,"Cole Sands","21461",663485
"Angel Zerpa","MIL",3,3,0,3.26808,60,0,0,12,,60,251,51,24,22,6,21,,3,61,9.08363,3.13175,2.9005,0.841489,0.241265,0.0831806,0.15808453410863876,0.223733,1.19622,0.280728,0.750585,,,3.508,0.454598,0.598594,725.22998046875,,,,,,,335.6,5.593333333333334,320,5.333333333333333,,,,,,,,,,,,,,,,,,,"Angel Zerpa","22717",672582
