Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Seth Johnson","PHI",1.89775,2.16212,0.205068,4.97854,23.3913,1.97397,0,1.31512,0.27405,31.7175,140.714,32.3826,19.0709,17.5452,4.62974,14.9375,0.374793,1.09598,27.3682,7.76586,4.23858,1.83219,1.31371,0.194495,0.106155,0.08834043890237808,0.259725,1.49192,0.29944,0.69173,,,4.8235,-0.0561919,-0.0771321,999,2.06585,-0.754023,0.803184,2.06585,0.754023,3.92909,102.10000000000001,3.1906250000000003,105,3.28125,,,,,,,,,,,,,,,,,,,"Seth Johnson","26020",686751
"Kendall Graveman",,1.20436,1.32871,0,4.5683,33.3523,0,0.399986,1.66603,0.823475,34.4955,151.806,33.6237,19.0321,17.5095,4.24789,15.8896,0.466995,1.91046,29.3794,7.66521,4.14567,1.84897,1.10829,0.193533,0.104671,0.0888623297214508,0.250913,1.43536,0.292651,0.699652,,,4.58066,-0.0567818,-0.12542,999,0.304546,0.631422,0.908977,0.304546,-0.631422,3.78803,126.00000000000003,3.7058823529411775,130,3.823529411764706,,,,,,,,,,,,,,,,,,,"Kendall Graveman","15514",608665
"Andrew Hoffmann","ARI",1.77167,2.21468,0,4.34997,38.532,0,0,4.27896,5.12012,39.8441,172.391,39.2904,20.9325,19.2579,4.95411,15.4065,0.727843,1.74765,35.7802,8.08205,3.48003,2.32241,1.11904,0.207553,0.0893696,0.11818324774503708,0.2531,1.37277,0.299874,0.706944,,,4.24711,-0.0576904,0.0340098,999,2.33274,-1.88836,0.844923,2.33274,1.88836,3.87344,170.1,4.2524999999999995,172,4.3,,,,,,,,,,,,,,,,,,,"Andrew Hoffmann","29633",694851
"George Soriano","ATL",0.685185,0.336026,0,4.61209,16.1029,0,0.0254715,0.542462,0.470339,17.4966,76.0247,16.7317,9.74589,8.96622,2.41028,7.29629,0.433505,1.08161,16.3022,8.38562,3.75311,2.23432,1.23981,0.214433,0.0959726,0.11846040934324265,0.247339,1.37329,0.292666,0.691507,,,4.499,-0.0577875,-0.0980841,999,1.50882,-2.15588,1.19911,1.50882,2.15588,3.40118,69.00000000000001,4.058823529411765,71,4.176470588235294,,,,,,,,,,,,,,,,,,,"George Soriano","21863",666277
"Marquis Grissom Jr.","WSN",0.536438,0.521784,0,4.83844,7.73502,0,0,0.816218,0,8.01556,35.303,8.01773,4.68391,4.3092,1.23372,3.46965,0.206396,0.490293,6.28648,7.05856,3.89578,1.81185,1.38524,0.178072,0.0982821,0.07979028671979904,0.255806,1.43313,0.284769,0.697064,,,5.04956,-0.058081,-0.0779575,999,0.524996,1.48753,1.34397,0.524996,-1.48753,3.20805,33.10000000000001,4.137500000000001,34,4.25,,,,,,,,,,,,,,,,,,,"Marquis Grissom Jr.","sa3020312",671726
"Blas Castaño","SEA",0.178014,0.29792,0.00400297,4.27946,9.13469,0.00547414,0,0.600735,0,10.0314,43.7236,10.1205,5.18464,4.76987,1.29529,3.48492,0.170119,0.926898,7.65142,6.86474,3.12662,2.19558,1.16211,0.174995,0.0797035,0.09529165923595428,0.257442,1.35629,0.290637,0.714108,,,4.60765,-0.0581492,-0.0200505,999,1.48171,0.508901,1.38072,1.48171,-0.508901,3.15903,43.7,4.37,45,4.5,,,,,,,,,,,,,,,,,,,"Blas Castano","26117",680604
"Robby Ahlstrom","TEX",1.14678,1.39609,0,4.61448,23.2128,0,0,1.4723,0,23.1032,101.675,22.4824,12.8755,11.8454,3.11329,11.0168,0.540984,0.945696,20.3628,7.93247,4.29167,1.84834,1.21281,0.200273,0.108353,0.09192021191120148,0.250604,1.44998,0.292423,0.707731,,,4.67755,-0.0588553,-0.136606,999,1.88187,2.27766,1.05528,1.88187,-2.27766,3.59296,84.10000000000001,3.656521739130435,84,3.652173913043478,,,,,,,,,,,,,,,,,,,"Robby Ahlstrom","sa3018193",695239
"Ben Peoples","CHW",0.635036,0.649381,0,4.70874,11.5798,0,0,1.05112,0,11.5185,50.5641,11.1961,6.55045,6.02641,1.70193,5.24615,0.257225,0.602991,10.0377,7.84296,4.09908,1.91334,1.3298,0.198514,0.103752,0.09476177394390106,0.250388,1.42746,0.287917,0.703565,,,4.83649,-0.05902,-0.0740491,999,1.44343,1.62763,1.27985,1.44343,-1.62763,3.29353,41.600000000000016,3.466666666666668,40,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Ben Peoples","sa3011784",687239
"Jack Neely","CHC",0.258217,0.799938,0,4.49972,14.5328,0,0,0.774491,0,15.4689,68.2767,14.4371,8.40652,7.73399,2.16446,8.09945,0.275439,0.725546,14.7813,8.59994,4.71235,1.82498,1.2593,0.216492,0.118627,0.0978647992014885,0.242837,1.45689,0.288728,0.724383,,,4.75453,-0.0599535,-0.0164892,999,1.96802,-1.24509,1.24091,1.96802,1.24509,3.34545,57.00000000000001,3.8000000000000003,56,3.7333333333333334,,,,,,,,,,,,,,,,,,,"Jack Neely","30106",680891
"Eric Reyzelman","NYY",0.54636,0.507209,0,4.79429,7.73502,0,0,0.819843,0,8.01556,36.1343,7.5256,4.64118,4.26988,1.13853,4.79898,0.211617,0.484463,7.52231,8.44616,5.38837,1.56748,1.27836,0.208176,0.13281,0.07536663115024567,0.243935,1.53758,0.287835,0.716025,,,5.08218,-0.0613819,-0.0829403,999,0.528529,1.50335,1.31742,0.528529,-1.50335,3.24344,31.100000000000005,3.8875000000000006,32,4,,,,,,,,,,,,,,,,,,,"Eric Reyzelman","sa3020611",801432
