Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Daniel Montesino",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.195372,0.0707041,0.302053,0.234078,0.259539,0.294447,0.247892,0.553985,0.0990751,3.7767,0.269733,,-0.000401993,0.0652515,-0.0529062,59.1378,-0.000401993,-0.0106943,-0.04883218600298278,-0.010694287717342377,-0.00268634,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Daniel Montesino","sa3015721",694220
"John Estevez","ATL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.194244,0.0939997,0.307121,0.306068,0.273667,0.294643,0.256256,0.56831,0.100398,3.50113,0.273824,,-0.00234154,0.0720419,-0.0461158,60.6575,-0.00234154,-0.0106943,-0.04897052748128772,-0.010694287717342377,-0.0027005,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"John Estevez","sa3021287",808553
"Natanael Yuten","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.22215,0.0375551,0.302799,0.124026,0.256513,0.342599,0.26044,0.599112,0.120449,4.43945,0.305654,,-0.0028219,0.0754395,-0.0427182,59.7553,-0.0028219,-0.0106943,-0.05025499779731035,-0.010694287717342377,-0.00271444,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Natanael Yuten","sa3018486",800256
"Tom Poole","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.18856,0.0767775,0.348188,0.220506,0.262638,0.303239,0.253623,0.565877,0.114678,3.3603,0.275529,,-0.00119333,0.0699042,-0.0482535,58.3727,-0.00119333,-0.0106943,-0.050255915499292314,-0.010694287717342377,-0.00271454,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Tom Poole","sa3069123",809231
"Cam Fisher",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.159273,0.106692,0.431367,0.247335,0.25897,0.282767,0.247069,0.541738,0.123495,4.99203,0.266744,,0.00223276,0.0645831,-0.0535746,55.3156,0.00223276,-0.0106943,-0.05043304874561727,-0.010694287717342377,-0.00273266,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Cam Fisher","sa3022687",801176
"Alfonzo Martinez","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.20295,0.0406816,0.292923,0.138881,0.240215,0.300338,0.237593,0.540554,0.0973884,4.16002,0.27377,,-0.00136952,0.05689,-0.0612677,47.3308,-0.00136952,0.00213886,-0.06344630988314748,0.002138857962563634,-0.00275109,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Alfonzo Martinez","sa3021225",808273
"Isaias Dipre",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207285,0.0601067,0.279736,0.214869,0.263041,0.312745,0.255311,0.575786,0.10546,3.05862,0.276631,,-0.000872638,0.0712746,-0.0468831,58.8706,-0.000872638,-0.0106943,-0.04961951443692669,-0.010694287717342377,-0.00276689,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Isaias Dipre","sa3016314",692658
"Brenner Cox","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.171172,0.0813868,0.383317,0.212322,0.246198,0.273316,0.234747,0.519514,0.102144,5.17895,0.269623,,0.000954638,0.0545789,-0.0635788,46.4144,0.000954638,0.00213886,-0.06255539233097807,0.002138857962563634,-0.00277741,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Brenner Cox","sa3020217",702685
"Carlos Gutierrez",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.199752,0.0700045,0.285372,0.24531,0.261185,0.292807,0.247878,0.553992,0.0930547,3.99399,0.27036,,0.000168893,0.0652403,-0.0529174,56.4824,0.000168893,-0.0106943,-0.05112162981822621,-0.010694287717342377,-0.00280311,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Carlos Gutierrez","sa3015783",699049
"Braylon Bishop",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.182038,0.0726637,0.350637,0.207233,0.250676,0.269105,0.23487,0.51978,0.0870666,6.01469,0.278804,,0.00285376,0.054679,-0.0634787,44.5953,0.00285376,0.00213886,-0.06281232903711498,0.002138857962563634,-0.00280369,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Braylon Bishop","sa3017559",691770
"T.J. McCants","CHW",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.20092,0.067698,0.334232,0.202548,0.258683,0.303862,0.249867,0.562545,0.102942,5.70519,0.29316,,0.000176474,0.0668549,-0.0513028,56.4106,0.000176474,-0.0106943,-0.05119872890645638,-0.010694287717342377,-0.002811,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"T.J. McCants","sa3025355",690996
"Facundo Velasquez","STL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.169932,0.0970419,0.379318,0.255832,0.254606,0.253449,0.233019,0.508055,0.0835169,4.57945,0.276171,,-0.000574504,0.0531757,-0.064982,47.3584,-0.000574504,0.00213886,-0.06296568439574912,0.002138857962563634,-0.00281938,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Facundo Velasquez","sa3021227",808278
"Luis Freitez","ATH",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.183948,0.0767287,0.322922,0.237608,0.254396,0.269426,0.236933,0.523822,0.0854774,3.76874,0.270173,,-0.00172444,0.0563538,-0.0618039,47.4692,-0.00172444,0.00213886,-0.06381124258041382,0.002138857962563634,-0.00284716,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luis Freitez","sa3017479",693782
"Caden Rose","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.184654,0.0739366,0.376311,0.196478,0.26648,0.300112,0.255344,0.566592,0.115458,5.54113,0.288424,,-0.0000376802,0.0713014,-0.0468563,56.2443,-0.0000376802,-0.0106943,-0.05160882214840967,-0.010694287717342377,-0.00285296,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Caden Rose","sa3023458",694896
