Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tanner Houck","BOS",1.26453,1.82614,1.09598,5.81407,5.27837,4.78931,0,0.0121015,0,25.0834,111.446,27.3001,17.6131,16.2041,3.76731,8.5311,0.0294518,2.62178,21.1226,7.57887,3.06099,2.47596,1.35172,0.189533,0.0765494,0.11298362165689468,0.272204,1.42848,0.312094,0.596201,,,4.73733,0.16307,-0.168189,999,1.15112,0.155227,0.928536,1.15112,-0.155227,3.76195,71.60000000000001,2.8640000000000003,79,3.16,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Mitch Farris","LAA",1.37339,2.30946,1.86542,4.85129,7.35725,6.13772,0,0.0808379,0,33.7303,146.82,32.7363,19.7627,18.1817,5.29994,14.6855,0.182664,1.24327,29.6537,7.91227,3.91842,2.01925,1.41414,0.201973,0.100024,0.10194919258356094,0.250102,1.40591,0.28598,0.691444,,,4.83622,0.161888,0.106389,999,1.53189,-0.133785,0.867301,1.53189,0.133785,3.8436,116.30000000000003,3.4205882352941184,117,3.4411764705882355,,,,,,,,,,,,,,,,,,,"Mitch Farris","33628",815083
"Ty Madden","DET",0.951225,1.35428,0.927741,4.34454,16.3217,2.57148,0,0.578423,0,26.4462,114.368,25.9898,13.8764,12.7663,3.54607,10.3194,0.401876,1.10042,23.6589,8.05144,3.51183,2.29266,1.20678,0.206866,0.0902298,0.11663626879453659,0.252455,1.37295,0.296313,0.715682,,,4.38449,0.149356,0.0812281,999,2.10554,-0.866219,1.08557,2.10554,0.866219,3.55258,94.6,3.6384615384615384,97,3.730769230769231,,,,,,,,,,,,,,,,,,,"Ty Madden","30140",680744
"Brandon Young","BAL",1.4345,2.13226,1.31084,4.58611,16.1259,3.91881,0,0.759679,0,33.501,142.514,33.4014,18.5555,17.071,5.22535,10.5189,0.358353,1.10589,28.8644,7.75438,2.82588,2.74406,1.40378,0.202537,0.0738093,0.12872786074876785,0.255188,1.31101,0.291076,0.692937,,,4.48062,0.139572,0.0338664,999,2.84243,-1.1073,0.972211,2.84243,1.1073,3.70372,130.3,3.8323529411764707,131,3.8529411764705883,,,,,,,,,,,,,,,,,,,"Brandon Young","27819",687064
"Dane Dunning","SEA",1.05949,1.00911,1.04132,4.81995,4.28143,4.05497,0.0162497,0,0,22.292,97.6194,23.2708,12.9766,11.9385,3.14755,8.20941,0.431428,1.26958,17.9186,7.23434,3.31441,2.18269,1.27077,0.183556,0.0840961,0.0994599238038063,0.26402,1.41218,0.300015,0.683456,,,4.63872,0.135472,0.0919363,999,1.8104,-0.546278,1.0851,1.8104,0.546278,3.5532,75.10000000000001,3.413636363636364,80,3.6363636363636362,,,,,,,,,,,,,,,,,,,"Dane Dunning","19409",641540
"JR Ritchie","ATL",1.00468,1.05661,1.07932,4.62133,2.95195,2.95195,0,0,0,17.1424,73.7936,16.952,9.56769,8.80228,2.36069,6.1454,0.124385,0.811984,14.1375,7.42242,3.22643,2.30051,1.2394,0.191582,0.0832781,0.10830386728048325,0.253635,1.34739,0.289866,0.683579,,,4.49353,0.13239,0.0754737,999,1.20924,2.22776,1.20445,1.20924,-2.22776,3.39406,64.00000000000001,3.764705882352942,66,3.8823529411764706,,,,,,,,,,,,,,,,,,,"JR Ritchie","sa3020395",702275
"Ronel Blanco","HOU",1.23118,0.936892,0.765918,4.09706,9.6173,2.23999,0,0.428653,0.370737,18.8191,78.9331,16.1688,9.31197,8.56701,2.81068,7.29808,0.257243,0.702548,19.0681,9.11905,3.49021,2.61275,1.34417,0.241573,0.0924591,0.14911358803510666,0.227946,1.24697,0.272315,0.724706,,,4.32565,0.130609,0.181922,999,1.91602,2.21112,1.22121,1.91602,-2.21112,3.37172,76.1,4.005263157894737,70,3.6842105263157894,,,,,,,,,,,,,,,,,,,"Ronel Blanco","19407",669854
"Dax Fulton","MIA",0.551198,1.16946,0.352166,4.2523,9.33492,1.77023,0,0.652751,0,15.759,69.2544,15.8242,8.09324,7.44578,1.63491,6.89275,0.248223,0.678744,13.6323,7.78544,3.93646,1.97778,0.933699,0.196844,0.0995279,0.09731601178646088,0.256541,1.44152,0.305701,0.715863,,,4.19508,0.129201,0.150855,999,2.33062,0.959554,1.24772,2.33062,-0.959554,3.33637,60.20000000000001,3.7625000000000006,62,3.875,,,,,,,,,,,,,,,,,,,"Dax Fulton","sa3014535",690978
"Brandon Walter","HOU",0.596275,0.266539,0.729292,3.7327,2.88194,1.45524,0.0534138,0,0,10.2076,40.7985,9.0477,4.60169,4.23356,1.45975,1.56204,0,0.562378,8.50899,7.50233,1.37724,5.44736,1.28705,0.208561,0.0382867,0.1702747792005539,0.233948,1.03939,0.26434,0.701376,,,3.95139,0.128988,0.0842474,999,0.50233,-2.38968,1.43989,0.50233,2.38968,3.08015,47.300000000000004,4.73,46,4.6,,,,,,,,,,,,,,,,,,,"Brandon Walter","26056",687888
"Logan Evans","SEA",3.21445,3.28068,2.10197,4.36471,25.0915,6.40039,0,0.76638,1.17273,55.267,237.163,54.3511,29.1334,26.8027,7.50213,19.2958,0.759357,2.6888,42.9092,6.98758,3.14224,2.22376,1.22169,0.180927,0.081361,0.09956634044647217,0.252586,1.33256,0.284335,0.704953,,,4.54037,0.124832,0.0645249,745,1.22765,0.0353712,0.637184,1.22765,-0.0353712,4.15042,192.20000000000002,3.494545454545455,195,3.5454545454545454,,,,,,,,,,,,,,,,,,,"Logan Evans","33699",688138
