TEAM,G,R,HR,OBP,SLG,IP,K,HR9,ERA,WHIP
St. CGT VI,1944,1141,313,0.34835,0.44800,1465.0,1777,1.03823,3.45256,1.11126
Jack Klugman's Second Best Lung,1870,1121,332,0.34122,0.47472,1466.1,1630,1.10480,3.71334,1.19618
🦫 Beavers in Scoring Position!,1945,1167,363,0.33670,0.46478,1519.0,1765,1.20869,3.46017,1.12640
Roar from 34,1833,992,281,0.33225,0.44647,1484.2,1717,1.11540,3.18859,1.02986
Yoshi Teddy Bear,1811,995,275,0.33907,0.45985,1453.0,1621,1.16449,3.55540,1.20578
Carlos Pérez's K-Dance,1883,1025,337,0.34521,0.47840,1175.0,1251,1.22553,3.71489,1.18894
Smoak and Mirrors,1781,965,266,0.33899,0.43569,1400.0,1415,1.11857,3.96643,1.23143
The Rime of Jamie Moyer,1892,1026,321,0.33651,0.45974,1291.0,1263,1.42912,4.28040,1.24322
Hornswogglers,1900,989,252,0.33479,0.43638,1340.2,1386,1.13451,3.95400,1.22999
Largely Indistinguishables,1942,1022,255,0.32906,0.42069,1400.2,1448,1.38148,3.91314,1.18158
Chili Dog MVP,1616,861,281,0.33470,0.46181,938.2,990,1.15057,4.06534,1.24325
Roberto Big Piece and the 69ers,1603,763,243,0.32497,0.43406,1223.0,1114,1.12592,4.07686,1.28863
