,TeamID,Team Name,ottoneu ID,FG MajorLeagueID,FG MinorLeagueID,Name,MLB Team,Position(s),Salary
34,55,Jack Klugman's Second Best Lung,37210,25890.0,sa3010580,Bryan King,HOU,RP,3
35,55,Jack Klugman's Second Best Lung,5644,10233.0,sa523977,Aroldis Chapman,BOS,RP,3
36,55,Jack Klugman's Second Best Lung,40936,30165.0,sa3018096,Ricky Tiedemann,TOR ST,Util,2
37,55,Jack Klugman's Second Best Lung,37812,,sa3011495,Daniel Espino,CLE ST,Util,2
38,55,Jack Klugman's Second Best Lung,45715,,sa3025257,Charlie Condon,COL AA,1B,2
39,90,Carlos Pérez's K-Dance,22674,18360.0,sa874756,Austin Riley,ATL,3B,46
40,90,Carlos Pérez's K-Dance,18122,12916.0,sa597754,Francisco Lindor,NYM,SS,39
41,90,Carlos Pérez's K-Dance,18236,14374.0,sa597835,Tyler Glasnow,LAD,SP,34
42,90,Carlos Pérez's K-Dance,37201,25880.0,sa3010571,Hunter Brown,HOU,SP,27
43,90,Carlos Pérez's K-Dance,14893,11477.0,sa548190,Christian Yelich,MIL,OF,25
44,90,Carlos Pérez's K-Dance,18479,17919.0,sa827194,Ian Happ,CHC,OF,24
45,90,Carlos Pérez's K-Dance,18786,17085.0,sa736473,Pablo Lopez,MIN,SP,23
46,90,Carlos Pérez's K-Dance,21039,17312.0,sa828960,Justin Steele,CHC,RP,17
47,90,Carlos Pérez's K-Dance,9335,9132.0,sa455169,Nathan Eovaldi,TEX,SP,15
48,90,Carlos Pérez's K-Dance,18359,16137.0,sa598286,Carlos Rodon,NYY,SP,14
49,90,Carlos Pérez's K-Dance,35181,24729.0,sa3007519,Logan O'Hoppe,LAA,C,13
50,90,Carlos Pérez's K-Dance,36669,25816.0,sa3010329,Shea Langeliers,ATH,C,12
51,90,Carlos Pérez's K-Dance,38374,27899.0,sa3014474,Colt Keith,DET,1B/2B/3B,12
52,90,Carlos Pérez's K-Dance,22568,21032.0,sa873427,Emmanuel Clase,CLE,RP,12
53,90,Carlos Pérez's K-Dance,22651,18138.0,sa874172,Ryan Helsley,BAL,RP,12
54,90,Carlos Pérez's K-Dance,23701,12447.0,sa599698,Seth Lugo,KCR,SP,11
55,90,Carlos Pérez's K-Dance,32966,21224.0,sa918555,Bailey Ober,MIN,SP,11
56,90,Carlos Pérez's K-Dance,9668,12552.0,sa505033,Eugenio Suarez,FA,3B,11
57,90,Carlos Pérez's K-Dance,31194,17277.0,sa659551,Ranger Suarez,BOS,SP,10
58,90,Carlos Pérez's K-Dance,18506,18314.0,sa659260,Dansby Swanson,CHC,SS,9
59,90,Carlos Pérez's K-Dance,18397,16556.0,sa830219,Ozzie Albies,ATL,2B,9
60,90,Carlos Pérez's K-Dance,27723,11861.0,sa548332,Jason Adam,SDP,RP,9
61,90,Carlos Pérez's K-Dance,40095,29668.0,sa3017114,Marcelo Mayer,BOS,2B/SS/3B,9
62,90,Carlos Pérez's K-Dance,35566,21455.0,sa3008128,Kris Bubic,KCR,SP,8
63,90,Carlos Pérez's K-Dance,4374,9218.0,sa501577,Paul Goldschmidt,FA,1B,8
64,90,Carlos Pérez's K-Dance,43932,33189.0,sa3022430,Nolan Schanuel,LAA,1B,6
65,90,Carlos Pérez's K-Dance,31703,19470.0,sa873704,Tommy Edman,LAD,2B/3B/OF,5
66,90,Carlos Pérez's K-Dance,43879,33527.0,sa3022942,Hurston Waldrep,ATL,SP,5
67,90,Carlos Pérez's K-Dance,37098,27684.0,sa1115910,Michael Massey,KCR,2B/OF,5
68,90,Carlos Pérez's K-Dance,32051,21992.0,sa916835,Camilo Doval,NYY,RP,4
69,90,Carlos Pérez's K-Dance,29222,16258.0,sa599349,Aaron Bummer,ATL,RP,3
70,90,Carlos Pérez's K-Dance,37674,26231.0,sa3011295,Tyler Holton,DET,SP/RP,3
71,90,Carlos Pérez's K-Dance,18491,17901.0,sa738659,Andrew Benintendi,CHW,OF,3
72,90,Carlos Pérez's K-Dance,18383,14854.0,sa503161,Mike Yastrzemski,ATL,OF,3
73,90,Carlos Pérez's K-Dance,31541,20302.0,sa829588,David Peterson,NYM,SP,3
74,90,Carlos Pérez's K-Dance,23833,19918.0,sa3002838,Daulton Varsho,TOR,OF,3
75,112,Hornswogglers,18284,13510.0,sa598784,José Ramírez,CLE,3B,57
76,112,Hornswogglers,6305,10155.0,sa500736,Mike Trout,LAA,OF,28
77,112,Hornswogglers,33654,21534.0,sa3008377,Cal Raleigh,SEA,C,28
78,112,Hornswogglers,32291,21711.0,sa917318,Oneil Cruz,PIT,OF,21
79,112,Hornswogglers,21015,17995.0,sa828873,Logan Webb,SFG,SP,18
80,112,Hornswogglers,33685,24617.0,sa3006786,Jarren Duran,BOS,OF,17
81,112,Hornswogglers,42126,31781.0,sa3020241,Jackson Holliday,BAL,2B/SS,17
82,112,Hornswogglers,14393,10603.0,sa392121,Chris Sale,ATL,SP,17
83,112,Hornswogglers,23794,22264.0,sa3004765,Shane Baz,BAL,SP,14
84,112,Hornswogglers,12398,11609.0,sa508176,Willson Contreras,BOS,1B,14
85,112,Hornswogglers,42156,31347.0,sa3019855,Zach Neto,LAA,SS,13
86,112,Hornswogglers,35196,21390.0,sa3007584,Joe Ryan,MIN,SP,13
87,112,Hornswogglers,44348,33704.0,sa3023068,C.J. Kayfus,CLE,1B/OF,12
88,112,Hornswogglers,40714,29995.0,sa3017698,Daylen Lile,WSN,OF,12
89,112,Hornswogglers,45947,,sa3025452,Carson Benge,NYM AAA,OF,12
90,112,Hornswogglers,35824,24610.0,sa3008536,Steven Kwan,CLE,OF,11
91,112,Hornswogglers,44308,33644.0,sa3023011,Kristian Campbell,BOS ST,1B/2B/OF,11
92,112,Hornswogglers,37841,26319.0,sa3011540,Michael Busch,CHC,1B,9
93,112,Hornswogglers,37649,26221.0,sa3011244,Ryan Pepiot,TBR,SP,8
94,112,Hornswogglers,45709,,sa3025129,Travis Bazzana,CLE AAA,2B,8
95,112,Hornswogglers,44057,33321.0,sa3022614,Luke Keaschall,MIN,2B,8
96,112,Hornswogglers,42765,31986.0,sa3020748,Parker Messick,CLE,SP,8
97,112,Hornswogglers,42719,31872.0,sa3020860,Cade Horton,CHC,SP,7
98,112,Hornswogglers,21200,17128.0,sa829185,Ramon Laureano,SDP,OF,7
99,112,Hornswogglers,35939,21636.0,sa876320,Jeremy Pena,HOU,SS,7
100,112,Hornswogglers,36738,25477.0,sa3009884,Isaac Collins,KCR,OF,7
101,112,Hornswogglers,37480,26151.0,sa1115829,Kyle Stowers,MIA ST,OF,7
102,112,Hornswogglers,37960,26396.0,sa3011703,Josh Smith,TEX,1B/SS/3B/OF,7
103,112,Hornswogglers,43589,32095.0,sa3021981,Cam Schlittler,NYY,SP,6
104,112,Hornswogglers,39099,28142.0,sa3015523,Jhostynxon Garcia,PIT ST,OF,6
105,112,Hornswogglers,45789,,sa3025261,Ryan Waldschmidt,ARI AA,OF,5
106,112,Hornswogglers,40552,29839.0,sa3017416,Emmet Sheehan,LAD,SP,5
107,112,Hornswogglers,33645,22266.0,sa3007018,Xavier Edwards,MIA,2B/SS,5
108,112,Hornswogglers,40972,30182.0,sa3018149,Will Warren,NYY,SP,4
109,112,Hornswogglers,33949,24816.0,sa3005625,Andy Pages,LAD,OF,4
110,112,Hornswogglers,33672,23550.0,sa3007225,Aaron Ashby,MIL,RP,3
111,112,Hornswogglers,42653,31827.0,sa3020570,Zebby Matthews,MIN,SP,3
112,112,Hornswogglers,19904,15541.0,sa739036,Tyler Rogers,TOR,RP,3
113,112,Hornswogglers,19378,15734.0,sa737865,Brad Keller,PHI,RP,3
114,112,Hornswogglers,45708,34979.0,sa3025168,Christian Moore,LAA,2B,3
115,154,The Rime of Jamie Moyer,33600,19755.0,,Shohei Ohtani,LAD,Util/SP,75
116,154,The Rime of Jamie Moyer,18549,19611.0,sa920245,Vladimir Guerrero Jr.,TOR,1B,59
117,154,The Rime of Jamie Moyer,18546,18345.0,sa874240,Kyle Tucker,LAD,OF,48
118,154,The Rime of Jamie Moyer,18386,14344.0,sa657863,Matt Olson,ATL,1B,43
119,154,The Rime of Jamie Moyer,18276,13611.0,sa597889,Mookie Betts,LAD,SS,41
120,154,The Rime of Jamie Moyer,18407,15986.0,sa736655,Willy Adames,SFG,SS,21
121,154,The Rime of Jamie Moyer,41042,30279.0,sa3018290,Bryan Woo,SEA,SP,20
122,154,The Rime of Jamie Moyer,40862,31757.0,sa3017934,Mason Miller,SDP,RP,15
123,154,The Rime of Jamie Moyer,23779,19291.0,sa857550,Zac Gallen,FA,SP,15
124,154,The Rime of Jamie Moyer,31741,18882.0,sa874181,Brandon Lowe,PIT,2B,14
125,154,The Rime of Jamie Moyer,42737,31846.0,sa3020703,Spencer Schwellenbach,ATL,SP,12
126,154,The Rime of Jamie Moyer,15556,13074.0,sa379610,Yu Darvish,SDP,SP,12
127,154,The Rime of Jamie Moyer,22048,17548.0,sa858832,Taylor Ward,BAL,OF,12
128,154,The Rime of Jamie Moyer,5201,4949.0,sa390316,Giancarlo Stanton,NYY,OF,11
129,154,The Rime of Jamie Moyer,23601,14710.0,sa657938,Edwin Diaz,LAD,RP,10
130,154,The Rime of Jamie Moyer,14914,11737.0,sa548164,Nick Castellanos,PHI,OF,9
131,154,The Rime of Jamie Moyer,23741,19959.0,sa917981,Jesus Luzardo,PHI,SP,9
132,154,The Rime of Jamie Moyer,18163,14161.0,sa657851,Byron Buxton,MIN,OF,8
133,154,The Rime of Jamie Moyer,23373,21052.0,sa877821,Luis Gil,NYY,SP,8
134,154,The Rime of Jamie Moyer,18375,16944.0,sa828669,Grant Holmes,ATL,SP,7
135,154,The Rime of Jamie Moyer,18378,16505.0,sa828672,Matt Chapman,SFG,3B,7
136,154,The Rime of Jamie Moyer,33622,21501.0,sa3008376,Trevor Larnach,MIN,OF,6
137,154,The Rime of Jamie Moyer,35922,25385.0,sa829799,Drew Rasmussen,TBR,SP,6
138,154,The Rime of Jamie Moyer,36803,25479.0,sa3009965,Brenton Doyle,COL,OF,6
139,154,The Rime of Jamie Moyer,38313,27770.0,sa3014516,Zac Veen,COL ST,OF,6
140,154,The Rime of Jamie Moyer,23612,13774.0,sa657853,Zach Eflin,BAL,SP,6
141,154,The Rime of Jamie Moyer,23693,16162.0,sa597893,Brandon Woodruff,MIL,SP,6
142,154,The Rime of Jamie Moyer,38361,27863.0,sa3014459,Jared Jones,PIT ST,RP,6
143,154,The Rime of Jamie Moyer,33604,19867.0,sa829807,Griffin Canning,FA,SP,6
144,154,The Rime of Jamie Moyer,38330,27756.0,sa3014534,Mick Abel,MIN,SP,5
145,154,The Rime of Jamie Moyer,33325,21690.0,sa920423,Edward Cabrera,CHC,SP,5
146,154,The Rime of Jamie Moyer,18195,15474.0,sa657908,Lucas Giolito,FA,SP,5
147,154,The Rime of Jamie Moyer,32576,19955.0,sa917933,Gavin Lux,TBR,2B/3B/OF,5
148,154,The Rime of Jamie Moyer,40389,29715.0,sa3017173,Hunter Goodman,COL,C,5
149,154,The Rime of Jamie Moyer,18239,13590.0,sa657865,Jesse Winker,NYM AAA,Util,4
150,154,The Rime of Jamie Moyer,40870,30107.0,sa3017948,Christian Scott,NYM,RP,4
151,154,The Rime of Jamie Moyer,40266,30038.0,sa3017795,Carson Williams,TBR,SS,4
152,154,The Rime of Jamie Moyer,40181,29514.0,sa3016863,River Ryan,LAD,RP,4
153,154,The Rime of Jamie Moyer,44554,,sa3023407,Quinn Mathews,STL AAA,SP,4
154,154,The Rime of Jamie Moyer,23691,13799.0,sa658557,Matt Strahm,KCR,RP,4
155,154,The Rime of Jamie Moyer,38307,27474.0,sa3014430,Max Meyer,MIA,SP,4
156,154,The Rime of Jamie Moyer,33679,19899.0,sa3007582,Clarke Schmidt,NYY,SP,4
157,154,The Rime of Jamie Moyer,23622,16727.0,sa550113,Brock Stewart,LAD ST,RP,3
158,154,The Rime of Jamie Moyer,44315,33248.0,sa3023032,Craig Yoho,MIL ST,RP,3
159,154,The Rime of Jamie Moyer,33667,25967.0,sa3010692,Orelvis Martinez,WSN AAA,2B,3
160,154,The Rime of Jamie Moyer,37837,26048.0,sa3011536,Sawyer Gipson-Long,DET,SP/RP,3
161,154,The Rime of Jamie Moyer,22679,19926.0,sa874781,Tony Santillan,CIN,RP,3
162,154,The Rime of Jamie Moyer,23656,19360.0,sa872722,Lucas Erceg,KCR,RP,3
163,154,The Rime of Jamie Moyer,23788,19522.0,sa943754,TJ Friedl,CIN,OF,3
164,154,The Rime of Jamie Moyer,38365,27597.0,sa3014463,Cody Bradford,TEX ST,RP,3
165,185,Chili Dog MVP,39277,28806.0,sa3015704,Jackson Chourio,MIL,OF,24
166,185,Chili Dog MVP,46091,35323.0,sa3025686,Roki Sasaki,LAD,SP,23
167,185,Chili Dog MVP,23840,19290.0,sa914549,Randy Arozarena,SEA,OF,21
168,185,Chili Dog MVP,42409,31812.0,sa3020211,Roman Anthony,BOS,OF,21
169,185,Chili Dog MVP,33651,22514.0,sa3007634,Triston Casas,BOS,1B,19
170,185,Chili Dog MVP,38409,27932.0,sa3014512,Ian Seymour,TBR,SP/RP,19
171,185,Chili Dog MVP,43950,33541.0,sa3022882,Dylan Crews,WSN,OF,18
172,185,Chili Dog MVP,42711,31623.0,sa3020644,Jacob Misiorowski,MIL,SP,16
173,185,Chili Dog MVP,47533,,sa3030545,Liam Doyle,STL AA,SP,14
174,185,Chili Dog MVP,42358,31505.0,sa3020130,Sal Stewart,CIN,1B/3B,13
175,185,Chili Dog MVP,44147,33390.0,sa3022757,Bryce Eldridge,SFG,1B,13
176,185,Chili Dog MVP,47553,,sa3026056,Kade Anderson,,Util,13
177,185,Chili Dog MVP,44703,,sa3023635,Jaxon Wiggins,CHC AAA,SP,12
178,185,Chili Dog MVP,44515,33666.0,sa3023308,Connelly Early,BOS,SP/RP,11
179,185,Chili Dog MVP,43841,32157.0,sa3022324,Jonah Tong,NYM,SP,10
180,185,Chili Dog MVP,42712,31807.0,sa3020652,Troy Melton,DET,SP/RP,10
181,185,Chili Dog MVP,37300,25961.0,sa3010689,Kerry Carpenter,DET,OF,9
182,185,Chili Dog MVP,19422,16358.0,sa737914,Tyler Mahle,SFG,SP,9
183,185,Chili Dog MVP,45721,,sa3025544,Hagen Smith,CHW AA,SP,8
184,185,Chili Dog MVP,20920,17479.0,sa828681,Jack Flaherty,DET,SP,8
185,185,Chili Dog MVP,18415,16400.0,sa696415,Reynaldo Lopez,ATL,RP,8
186,185,Chili Dog MVP,35696,25098.0,sa3008338,Jacob Lopez,ATH,SP,8
187,185,Chili Dog MVP,42193,31382.0,sa3019892,Dalton Rushing,LAD,C,8
188,185,Chili Dog MVP,35808,24968.0,sa3008513,Reese Olson,DET,SP,8
189,185,Chili Dog MVP,23809,22275.0,sa915698,Jake Burger,TEX,1B,7
190,185,Chili Dog MVP,42146,31595.0,sa3019973,Brooks Lee,MIN,2B/SS/3B,7
191,185,Chili Dog MVP,42312,31475.0,sa3020080,Logan Henderson,MIL,SP,6
192,185,Chili Dog MVP,23696,19316.0,sa738156,Eric Lauer,TOR,SP/RP,6
193,185,Chili Dog MVP,44336,33703.0,sa3023053,Nolan McLean,NYM,SP,5
194,185,Chili Dog MVP,33677,25971.0,sa3008752,Kevin Alcantara,CHC,OF,5
195,185,Chili Dog MVP,40554,29863.0,sa3017418,Ryan Bergert,KCR,SP,5
196,185,Chili Dog MVP,40607,29911.0,sa3017529,Andrew Abbott,CIN,SP,5
197,185,Chili Dog MVP,38366,27475.0,sa3014464,Jordan Walker,STL,OF,4
198,185,Chili Dog MVP,36325,26546.0,sa3009276,Agustin Ramirez,MIA,C,4
199,185,Chili Dog MVP,18123,12979.0,sa597757,Javier Baez,DET,2B/SS/3B/OF,4
200,185,Chili Dog MVP,31687,19352.0,sa873680,Sean Murphy,ATL,C,4
201,185,Chili Dog MVP,18516,18363.0,sa828409,Victor Robles,SEA,OF,4
202,185,Chili Dog MVP,43895,33876.0,sa3023360,Rhett Lowder,CIN ST,SP/RP,4
203,185,Chili Dog MVP,42206,31765.0,sa3019905,Nacho Alvarez Jr.,ATL,3B,4
204,185,Chili Dog MVP,13217,13152.0,sa548087,Jorge Polanco,NYM,2B/3B,3
205,185,Chili Dog MVP,44487,,sa3023268,Thomas White,MIA AAA,SP,3
206,185,Chili Dog MVP,42873,,sa3020949,Noah Schultz,CHW AAA,SP,3
207,185,Chili Dog MVP,45064,,sa3024108,Jesus Made,MIL AA,SS,3
208,185,Chili Dog MVP,40989,30160.0,sa3018182,Richard Fitts,STL,SP,3
209,185,Chili Dog MVP,41160,,sa3018409,Lazaro Montes,SEA AA,OF,3
210,185,Chili Dog MVP,42621,,sa3020498,Xavier Isaac,TBR AA,Util,3
211,197,St. CGT VI,18312,15640.0,sa549847,Aaron Judge,NYY,OF,73
212,197,St. CGT VI,23717,20123.0,sa906282,Juan Soto,NYM,OF,64
213,197,St. CGT VI,18216,13624.0,sa657913,Corey Seager,TEX,SS,55
214,197,St. CGT VI,23795,19556.0,sa943524,Yordan Alvarez,HOU,OF,52
215,197,St. CGT VI,15962,10310.0,sa500722,Zack Wheeler,PHI,SP,32
216,197,St. CGT VI,38312,27463.0,,Garrett Crochet,BOS,SP,30
217,197,St. CGT VI,18460,13543.0,sa597786,Blake Snell,LAD,SP,30
218,197,St. CGT VI,23834,22515.0,sa3004693,Heliot Ramos,SFG,OF,15
219,197,St. CGT VI,34788,22542.0,sa3006873,Lawrence Butler,ATH,OF,13
220,197,St. CGT VI,33217,21837.0,sa919293,Jonathan Aranda,TBR,1B,12
221,197,St. CGT VI,38334,27473.0,sa3014421,Cade Cavalli,WSN,SP,11
222,197,St. CGT VI,37469,26197.0,sa3011226,Andrew Vaughn,MIL,1B,11
223,197,St. CGT VI,6130,10324.0,sa503013,Marcell Ozuna,FA,Util,10
224,197,St. CGT VI,19398,15454.0,sa737889,Nick Pivetta,SDP,SP,10
225,197,St. CGT VI,35628,24064.0,sa3008239,Ezequiel Tovar,COL,SS,9
226,197,St. CGT VI,34804,20178.0,sa3006896,Miguel Vargas,CHW,1B/3B,8
227,197,St. CGT VI,21708,17338.0,sa830274,Willi Castro,COL,2B/3B/OF,7
228,197,St. CGT VI,36682,25977.0,sa3011297,Quinn Priester,MIL,SP/RP,6
229,197,St. CGT VI,31438,20253.0,sa738570,Griffin Jax,TBR,RP,6
