Ottoneu Positions,HR_SGP_Val_mySGP,HR_SGP_norm_mySGP,HR_SGP_raw_mySGP,HR_mySGP,OBP_SGP_Val_mySGP,OBP_SGP_norm_mySGP,OBP_SGP_raw_mySGP,OBP_mySGP,R_SGP_Val_mySGP,R_SGP_norm_mySGP,R_SGP_raw_mySGP,R_mySGP,SLG_SGP_Val_mySGP,SLG_SGP_norm_mySGP,SLG_SGP_raw_mySGP,SLG_mySGP,TOTAL_SGP_Val_mySGP,mHR_FGAV,mOBP_FGAV,mR_FGAV,mSLG_FGAV,ERA_SGP_Val_mySGP,ERA_SGP_norm_mySGP,ERA_SGP_raw_mySGP,ERA_mySGP,HR9_SGP_Val_mySGP,HR9_SGP_norm_mySGP,HR9_SGP_raw_mySGP,HR9_mySGP,SO_SGP_Val_mySGP,SO_SGP_norm_mySGP,SO_SGP_raw_mySGP,SO_mySGP,WHIP_SGP_Val_mySGP,WHIP_SGP_norm_mySGP,WHIP_SGP_raw_mySGP,WHIP_mySGP,mERA_FGAV,mSO_FGAV,mWHIP_FGAV
C,1.2853893980450402,0.07401200438116129,1.100989564074482,12.670632,6.294278308638729,0.11819638873666378,-0.13773433248183092,0.3128966735192934,3.6793832160009634,0.19086295513636137,1.9535029307960432,49.389472,6.258620900103219,0.18396345299610012,-0.13584046150079748,0.4040320151274555,3.0722468229061968,-9.149019447831842,-0.4470161299771182,-10.861523515551848,-1.006260638847262,,,,,,,,,,,,,,,,,,,
1B,3.992897552606108,0.22990881331872978,1.611116974078134,18.541384,12.287902691467622,0.23074698195115456,-0.005106660723248441,0.3261061755661497,4.601522889163457,0.23869768523538185,2.6406715251424515,66.762824,7.645409280625179,0.22472616783819604,0.01781149393919008,0.42803420017542154,3.9578942699423663,-3.9405155773330933,0.0016325470890203753,-4.200514200364022,-0.0990124140482749,,,,,,,,,,,,,,,,,,,
2B,2.2158367497613836,0.1275866437677987,1.0986309397590384,12.643488,6.074006359366098,0.11406003701095795,-0.08225210304379285,0.3213779304485016,5.460654206722546,0.28326394335343275,2.492666327377335,63.02088,4.96959316520424,0.14607427630609687,-0.18286813405759642,0.3934852735256903,2.5184168962017437,-8.874497469289121,-0.09836533333707506,-6.11535394311294,-1.336629231047801,,,,,,,,,,,,,,,,,,,
SS,-0.8598551229567258,-0.0495099782402338,0.7511466298649155,8.6444984,-1.1555466533946839,-0.021699301294087075,-0.22133636547828894,0.30659689169033433,2.360876615386162,0.12246723460751245,1.8745183913259982,47.392544,-0.20312195292447136,-0.005970487178522139,-0.30559401922421303,0.37818203706224635,0.11729861879985148,-12.495653688620399,-1.0771282800020552,-12.870631013822933,-3.5636529712807934,,,,,,,,,,,,,,,,,,,
3B,7.0867297503144915,0.4080499451186572,1.5371063599853991,17.689639999999997,7.298894340373581,0.13706145653245014,-0.06638454007236624,0.3221554073018738,7.775245965229547,0.40333021452674733,2.528222913093992,63.91984,7.326395099646378,0.21534918987063528,-0.0813477459599388,0.4166001142315644,5.2543226426936425,-4.595320491502861,-0.09016450655716175,-4.582734775889734,-0.28592162217302985,,,,,,,,,,,,,,,,,,,
MI,-0.17115848593144353,-0.0098552101253499,0.950676594377512,10.940769714285716,0.547538769316287,0.01028189445288425,-0.17408996461151316,0.31226329018674664,0.9912985626744678,0.05142225258615927,2.11557307812875,53.48701333333333,2.7404707752318713,0.08055232529553587,-0.23639813597514342,0.3871543411484107,-0.1970967857950321,-10.987533842267192,-0.563367154404484,-9.91106239679224,-2.053950548748691,,,,,,,,,,,,,,,,,,,
OF,1.5918920513617227,0.09166025615188038,1.0433544622124884,12.007344,2.486569829768921,0.04669376850033023,-0.15592245668771218,0.31424675095567683,-1.1633860241055305,-0.06034905349339,2.1646736737290526,54.7284,6.84925927089098,0.20132444608010602,-0.1570086167257128,0.3984556978624051,1.1942976932285987,-9.190164177189297,-0.2585379870895944,-9.136216632885986,-0.5791292449062547,,,,,,,,,,,,,,,,,,,
Util,-1.4215800688580984,-0.08185378722161397,0.9397822148229299,10.815392799999998,0.5345245479270375,0.01003750837794416,-0.1943144287954863,0.30899151164779726,-4.535331603287835,-0.2352641031144556,1.903348431708805,48.12143999999999,3.7435073714867584,0.11003519039852701,-0.20580144161357553,0.3904041424040742,-2.0769996787121903,-10.466454172343145,-0.2821970571603919,-11.63308247663296,-0.6211655902838172,,,,,,,,,,,,,,,,,,,
SP,,,,,,,,,,,,,,,,,2.056875853506157,-6.369143110621875,,,,4.066626114103931,0.1760743181147669,-0.17673916540696527,4.007876449941309,3.9255658610222555,0.22126064933906048,-0.18875821655572286,1.1355690284730435,2.888647175229479,0.23265870842026398,1.8478721886306435,87.815936,0.46322778605366893,0.012510452759040941,-0.22186313621636128,1.265778111986574,-13.086950475635357,0.05383262230678328,-11.719483016862252
RP,,,,,,,,,,,,,,,,,5.1884534792532975,5.006059892171057,,,,7.7855258495384705,0.3370929897804082,0.25229388329200714,4.370891035734283,13.373343288266355,0.753775308975565,0.5437165281581192,1.2577952591762236,0.8446615203106885,0.06803110468213189,1.5655244520737397,74.398,9.105948008459503,0.24592551616261926,0.25153283998554665,1.3641081471348517,-1.4229389991710415,-2.4290023627463873,-2.3605532915782126
