,Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
606,Jordan Leasure,40656,29950.0,sa3017607,CHW,RP,$2.00,$2.00,$2,$2,$1.50,4.167
607,Kendry Rojas,40077,,sa3016746,MIN ST,SP,$2.00,$2.00,$2,$2,$1.00,4.167
608,Ryan Ward,37113,,sa1169792,LAD ST,1B/OF,$2.00,$2.00,$2,$2,$1.00,8.333
609,Sean Newcomb,18459,16943.0,sa709548,CHW,SP/RP,$2.00,$2.00,$1,$3,$1.20,8.333
610,Max Muncy,40460,29779.0,sa3017290,ATH,2B/SS/3B,$2.00,$2.00,$1,$3,$2.20,37.5
611,Jeremiah Jackson,35299,22239.0,sa3007740,BAL,SS/3B/OF,$2.00,$2.00,$1,$3,$2.80,16.667
612,Caleb Thielbar,6225,10078.0,sa502074,CHC,RP,$2.00,$2.00,$1,$3,$1.00,8.333
613,Arjun Nimmala,43892,,sa3022892,TOR ST,SS,$2.00,$2.00,$2,$2,$1.00,8.333
614,Blake Mitchell,44146,,sa3022756,KCR ST,C,$2.00,$2.00,$2,$2,$1.00,4.167
615,Gregory Soto,19136,19677.0,sa737262,PIT,RP,$2.00,$2.00,$1,$3,$1.30,16.667
616,Justin Wrobleski,41926,31204.0,sa3019501,LAD,SP/RP,$2.00,$1.00,$1,$4,$1.80,37.5
617,Zack Gelof,40456,29766.0,sa3017286,ATH,2B,$2.00,$2.00,$1,$3,$2.40,8.333
618,Cam Collier,42359,,sa3020131,CIN ST,1B/3B,$2.00,$2.00,$2,$2,$1.50,4.167
619,Tyler Wells,32804,20000.0,sa918346,BAL,SP/RP,$2.00,$2.00,$1,$3,$2.80,8.333
620,Nick Martinez,18449,12730.0,sa599574,TBR,SP/RP,$2.00,$1.00,$1,$5,$1.40,20.833
621,Jonny Farmelo,44538,,sa3023362,SEA ST,OF,$2.00,$2.00,$2,$2,$1.00,4.167
622,Andres Gimenez,23705,19950.0,sa917114,TOR,2B/SS,$2.00,$1.00,$1,$4,$1.60,20.833
623,Keider Montero,25866,22630.0,sa3002956,DET,SP/RP,$2.00,$2.00,$2,$2,$1.80,4.167
624,Cooper Ingle,44349,,sa3023069,CLE ST,C,$2.00,$2.00,$2,$2,$1.00,4.167
625,Edgardo Henriquez,36539,26944.0,sa3009613,LAD,RP,$2.00,$2.00,$1,$3,$1.20,20.833
626,Jhancarlos Lara,41842,,sa3019367,ATL AAA,SP/RP,$2.00,$2.00,$2,$2,$1.00,4.167
627,Robert Gasser,40476,29812.0,sa3017310,MIL,SP/RP,$2.00,$2.00,$1,$3,$1.30,8.333
628,Matthew Liberatore,33611,22294.0,sa3008163,STL,SP/RP,$2.00,$2.00,$1,$4,$2.10,70.833
629,Masataka Yoshida,42722,31837.0,,BOS,OF,$2.00,$2.00,$1,$3,$1.30,20.833
630,Michael Soroka,22668,18383.0,sa874715,ARI,SP/RP,$2.00,$1.00,$1,$4,$1.20,12.5
631,Hunter Barco,43911,33174.0,sa3022409,PIT,SP/RP,$1.94,$1.50,$1,$4,$1.60,66.667
632,Braden Montgomery,45739,,sa3038253,CHW ST,OF,$1.93,$2.00,$1,$4,$1.30,58.333
633,Edward Florentino,44975,,sa3023944,PIT ST,OF,$1.92,$1.00,$1,$7,$1.30,54.167
634,JR Ritchie,42538,,sa3020395,ATL ST,SP,$1.91,$2.00,$1,$3,$1.70,45.833
635,Elmer Rodriguez-Cruz,41901,,sa3019459,NYY ST,SP,$1.90,$1.50,$1,$5,$1.50,41.667
636,Andrew Benintendi,18491,17901.0,sa738659,CHW,OF,$1.90,$1.00,$1,$5,$1.70,41.667
637,Edgar Quero,38887,28022.0,sa3015239,CHW,C,$1.90,$1.00,$1,$4,$1.50,41.667
638,Emilio Pagan,19394,14771.0,sa737885,CIN,RP,$1.89,$1.00,$1,$3,$1.50,79.167
639,Chandler Simpson,42416,31912.0,sa3020219,TBR,OF,$1.88,$1.00,$1,$4,$1.60,33.333
640,Austin Hays,23805,19363.0,sa874219,CHW,OF,$1.87,$1.00,$1,$4,$1.30,62.5
641,Jack Dreyer,41400,30249.0,sa3018789,LAD,SP/RP,$1.80,$1.00,$1,$4,$1.70,20.833
642,Josuar Gonzalez,46099,,sa3067675,SFG ST,SS,$1.80,$2.00,$1,$3,$1.67,20.833
643,Jacob Melton,42283,31661.0,sa3019988,TBR,OF,$1.80,$1.00,$1,$4,$1.80,20.833
644,Kody Clemens,35487,20572.0,sa3008002,MIN,1B/2B/OF,$1.80,$1.00,$1,$3,$1.50,20.833
645,Edouard Julien,38350,27534.0,sa3014445,COL,1B/2B,$1.78,$1.00,$1,$5,$1.70,37.5
646,Steven Okert,18421,13580.0,sa550187,HOU,RP,$1.75,$1.00,$1,$4,$1.40,50.0
647,Wenceel Perez,26234,22857.0,sa3003326,DET,OF,$1.75,$1.50,$1,$3,$1.20,16.667
648,Chase Dollander,44512,33482.0,sa3023361,COL,SP,$1.75,$1.00,$1,$4,$2.30,16.667
649,Justin Martinez,34132,24453.0,sa3005864,ARI,RP,$1.71,$1.00,$1,$5,$1.50,29.167
650,Clayton Beeter,38428,27494.0,sa3014536,WSN,RP,$1.70,$1.00,$1,$4,$1.50,41.667
651,Parker Meadows,35450,23800.0,sa3007943,DET,OF,$1.67,$1.00,$1,$3,$2.90,12.5
652,Ronny Mauricio,33640,23698.0,sa3006887,NYM,2B/3B,$1.67,$1.00,$1,$4,$2.20,25.0
653,Trey Gibson,44473,,sa3023250,BAL ST,SP,$1.67,$2.00,$1,$2,$2.75,12.5
654,Edmundo Sosa,18890,17022.0,sa736859,PHI,2B/SS/3B,$1.67,$1.00,$1,$3,$1.90,12.5
655,Jamie Arnold,47565,,sa3026225,ATH ST,RP,$1.67,$2.00,$1,$2,$2.33,25.0
656,JoJo Parker,47541,,sa3069248,,Util,$1.67,$1.00,$1,$3,$1.57,12.5
657,Ralphy Velazquez,44310,,sa3023013,CLE ST,1B,$1.63,$1.00,$1,$5,$1.80,33.333
658,Mason Montgomery,40472,29770.0,sa3017306,PIT,RP,$1.60,$1.00,$1,$3,$1.40,41.667
659,Tony Santillan,22679,19926.0,sa874781,CIN,RP,$1.60,$1.00,$1,$3,$1.10,62.5
660,Hunter Harvey,18283,15507.0,sa737510,CHC,RP,$1.55,$1.00,$1,$3,$1.40,45.833
