TEAM,G,R,HR,OBP,SLG,IP,K,HR9,ERA,WHIP
The Rime of Jamie Moyer,1943,1069,286,0.33735,0.44786,1523.0,1687,0.87459,2.65332,0.99409
St. CGT VI,1944,1050,333,0.33337,0.44044,1500.2,1704,0.77965,3.07064,1.09218
Jack Klugman's Second Best Lung,1820,966,310,0.32604,0.45026,1441.2,1570,1.01757,3.37110,1.14936
🦫 Beavers in Scoring Position!,1882,1009,273,0.32730,0.43080,1501.2,1546,1.03085,3.45816,1.15605
Hornswogglers,1941,1039,275,0.31957,0.42640,1356.0,1415,0.94912,3.29204,1.11062
Yoshi Teddy Bear,1916,914,251,0.32449,0.42707,1460.2,1545,1.12141,3.55523,1.20219
Carlos Pérez's K-Dance,1857,882,226,0.33158,0.41255,1286.2,1389,0.90233,3.48342,1.18523
Smoak and Mirrors,1820,910,228,0.33563,0.42124,1489.0,1496,1.13029,3.77166,1.21424
Roberto Big Piece and the 69ers,1776,901,244,0.32916,0.42981,1318.1,1210,1.13153,4.01490,1.23681
Roar from 34,1594,811,224,0.31849,0.42011,1268.1,1330,1.04827,3.58395,1.14271
Chili Dog MVP,1918,941,225,0.32444,0.41866,1506.2,1265,1.23053,4.62345,1.31947
Largely Indistinguishables,1532,613,168,0.31522,0.39425,1317.2,1214,1.18846,4.02302,1.29168
