Team,R,HR,OBP,SLG,K,HR9,ERA,WHIP,TOTAL,CHG
The Rime of Jamie Moyer,12.0,10.0,12.0,11.0,11.0,11.0,12.0,12.0,91.0,0.0
St. CGT VI,11.0,12.0,10.0,10.0,12.0,12.0,11.0,11.0,89.0,0.0
Jack Klugman's Second Best Lung,8.0,11.0,6.0,12.0,10.0,8.0,9.0,8.0,72.0,0.0
🦫 Beavers in Scoring Position!,9.0,8.0,7.0,9.0,9.0,7.0,8.0,7.0,64.0,0.0
Hornswogglers,10.0,9.0,3.0,6.0,6.0,9.0,10.0,10.0,63.0,0.0
Yoshi Teddy Bear,6.0,7.0,5.0,7.0,8.0,5.0,6.0,5.0,49.0,1.0
Carlos Pérez's K-Dance,3.0,4.0,9.0,2.0,5.0,10.0,7.0,6.0,46.0,0.0
Smoak and Mirrors,5.0,5.0,11.0,5.0,7.0,4.0,4.0,4.0,45.0,1.0
Roberto Big Piece and the 69ers,4.0,6.0,8.0,8.0,1.0,3.0,3.0,3.0,36.0,1.0
Roar from 34,2.0,2.0,2.0,4.0,4.0,6.0,5.0,9.0,34.0,1.0
Chili Dog MVP,7.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,23.0,2.0
Largely Indistinguishables,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12.0,0.0
