Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brady Smith","LAD",0,0,0,5.26131,1,1,0,0,,2.03,9,2,1,1,0,1,0,0,2,7.96505,4.99754,1.59379,1.55051,0.197424,0.123871,0.07355357706546783,0.247405,1.5138,0.279105,0.687801,,,5.43014,0.00235314,0.0271248,999,,,,,,,10.821999788284305,5.331034453599224,11.149999856948853,5.4926108443811374,,,,,,,,,,,,,,,,,,,"Brady Smith","sa3067255",806224
"Mason Green","COL",0,0,0,6.12047,1,1,0,0,,2.99973,13,3,2,2,0,2,0,0,2,6.10182,4.80284,1.27046,1.41869,0.154861,0.121894,0.032967470586299896,0.285384,1.61602,0.312721,0.62584,,,5.5843,0.00231273,0.0127484,999,,,,,,,12.397995758056641,4.133038388221186,12.998645782470703,4.333273140453303,,,,,,,,,,,,,,,,,,,"Mason Green","sa3017717",679057
"Juan Daniel Encarnacion",,0,0,0,5.55116,1,1,0,0,,3.99182,18,4,3,2,1,2,0,0,3,5.77943,3.7501,1.54114,1.49369,0.142456,0.0924357,0.05002059042453766,0.277678,1.53913,0.295746,0.662282,,,5.40482,0.002282,-0.0389396,999,,,,,,,6.839484596252442,1.7133740383096947,6.959111213684082,1.7433419602654638,,,,,,,,,,,,,,,,,,,"Juan Daniel Encarnacion","sa3008697",683402
"Chris Vallimont",,0,0,0,5.25014,1,1,0,0,,3.64504,17,4,2,2,1,2,0,0,3,7.0564,4.07104,1.73332,1.6921,0.171271,0.0988111,0.07245993614196777,0.255097,1.49184,0.27442,0.695654,,,5.51979,0.00222309,0.0280116,999,,,,,,,4.273313903808594,1.1723632847248533,5.225212097167969,1.4335120132785502,,,,,,,,,,,,,,,,,,,"Chris Vallimont","24935",681808
"Carter Spivey","CLE",0,0,0,5.50906,1,1,0,0,,4.24161,18,4,3,3,1,2,0,0,2,4.93363,3.79899,1.29867,1.27375,0.132036,0.10167,0.030365541577339172,0.274805,1.43434,0.290841,0.619457,,,5.28361,0.00222119,-0.0388575,999,,,,,,,6.68791437149048,1.5767395617079178,6.20805025100708,1.4636070212801118,,,,,,,,,,,,,,,,,,,"Carter Spivey","sa3023477",701053
"Bryce Meccage","MIL",0,0,0,5.25124,1,1,0,0,,3.68947,15,3,2,2,1,2,0,0,2,5.94178,3.87052,1.53514,1.4452,0.158493,0.103243,0.05524927377700806,0.256524,1.37633,0.273948,0.641808,,,5.33218,0.00218068,0.0302919,999,,,,,,,5.202104854583742,1.4099856450246062,3.4473681449890137,0.9343793970755243,,,,,,,,,,,,,,,,,,,"Bryce Meccage","sa3067069",815501
"Jack Bushell","DET",0,0,0,5.6054,1,1,0,0,,3.05,13,3,2,2,0,1,0,0,2,5.49705,4.20129,1.30842,1.28092,0.143299,0.109521,0.033778347074985504,0.277046,1.50488,0.299199,0.631594,,,5.30987,0.00217646,-0.0114162,999,,,,,,,15.769999647140505,5.170491768422546,16.24999976158142,5.32786885758492,,,,,,,,,,,,,,,,,,,"Jack Bushell","sa3023577",816303
"Logan Tabeling","LAD",0,0,0,5.31347,1,1,0,0,,3.26667,15,3,2,2,0,2,0,0,3,7.20988,5.40667,1.33352,1.31684,0.176642,0.132463,0.04417864978313446,0.25669,1.59652,0.289732,0.683845,,,5.40253,0.00209676,0.00465592,999,,,,,,,16.3733332157135,5.012244886341119,16.333333253860474,5,,,,,,,,,,,,,,,,,,,"Logan Tabeling","sa3067065",805841
"Adam Plutko",,0,0,0,5.6886,1,1,0,0,,4.60019,19,5,3,3,1,1,0,0,2,4.75542,2.66628,1.78354,1.793,0.125171,0.0701811,0.05498962849378586,0.273271,1.3572,0.273147,0.618431,,,5.68486,0.00209585,0.00438581,999,,,,,,,9.74141778945923,2.117611319476816,11.00095796585083,2.3914129972725013,,,,,,,,,,,,,,,,,,,"Adam Plutko","15846",592644
"Joey Oakie","CLE",0,0,0,5.07213,1,1,0,0,,3.28333,15,3,2,2,0,2,0,0,3,7.16043,5.29658,1.3519,1.23111,0.173506,0.128343,0.04516340792179108,0.254451,1.59152,0.287832,0.697122,,,5.25295,0.00208998,-0.0002305,999,,,,,,,16.496666431427002,5.024365459232674,16.416666507720947,5,,,,,,,,,,,,,,,,,,,"Joey Oakie","sa3067418",815841
"Cruz Noriega",,0,0,0,5.5433,1,1,0,0,,2.13235,10,2,1,1,0,1,0,0,1,5.89981,3.86469,1.52659,1.3846,0.144046,0.0943577,0.04968804121017456,0.282906,1.58137,0.305935,0.665197,,,5.26096,0.00208884,0.0345973,999,,,,,,,9.57939329147339,4.492410389137593,9.661752223968506,4.5310339337318695,,,,,,,,,,,,,,,,,,,"Cruz Noriega","sa3005702",679200
"Eric Yost","SDP",0,0,0,5.33487,1,1,0,0,,4.71101,21,5,3,3,1,2,0,0,3,5.28667,4.022,1.31444,1.2376,0.133805,0.101796,0.03200851380825043,0.273528,1.51208,0.292704,0.655257,,,5.23529,0.00207667,-0.0129326,999,,,,,,,9.561445617675783,2.0295973479345926,10.555030822753906,2.2405045661323992,,,,,,,,,,,,,,,,,,,"Eric Yost","sa3022858",801293
"Rhett Kouba","HOU",0,0,0,5.25854,1,1,0,0,,3.05029,14,3,2,2,0,1,0,0,2,5.89697,3.9929,1.47686,1.38046,0.147221,0.0996851,0.047536060214042664,0.266504,1.49839,0.286227,0.67014,,,5.29742,0.00203886,-0.0129824,999,,,,,,,15.77214856147766,5.1707040221293905,16.25145173072815,5.327837643804501,,,,,,,,,,,,,,,,,,,"Rhett Kouba","sa3017544",688763
"Anthony Flores","MIL",0,0,0,5.13235,1,1,0,0,,3.08327,14,3,2,2,0,2,0,0,2,6.5928,4.56487,1.44424,1.33756,0.164399,0.113831,0.050568610429763794,0.256985,1.50874,0.282789,0.681101,,,5.27789,0.00203155,-0.0069489,999,,,,,,,13.016193246841432,4.2215556725248495,13.416346788406372,4.35133789235201,,,,,,,,,,,,,,,,,,,"Anthony Flores","sa3019377",800260
"Mariano Salomon","NYY",0,0,0,5.53873,1,1,0,0,,3.31,13,3,2,2,1,1,0,0,2,5.45357,3.59379,1.5175,1.53018,0.149679,0.0986354,0.05104387551546097,0.263022,1.34734,0.275071,0.608642,,,5.4654,0.00185889,0.00148817,999,,,,,,,5.393999576568604,1.6296071510016537,4.549999713897705,1.3746222938230284,,,,,,,,,,,,,,,,,,,"Mariano Salomon","sa3021751",807814
"Thomas Ireland","TEX",0,0,0,5.56322,1,1,0,0,,3.2762,14,3,2,2,0,1,0,0,2,4.46895,3.65746,1.22187,1.27788,0.118233,0.0967637,0.02146919071674347,0.278692,1.45073,0.290262,0.619507,,,5.34523,0.00175721,-0.00109869,999,,,,,,,17.443885707855227,5.324425126963213,17.381003856658936,5.305231598975999,,,,,,,,,,,,,,,,,,,"Thomas Ireland","sa3021469",692179
"Emmanuel Chapman","PIT",0,0,0,5.50842,1,1,0,0,,2.25416,10,2,2,1,0,1,0,0,1,5.98496,4.53269,1.3204,1.23946,0.155461,0.117738,0.03772318363189697,0.271967,1.51645,0.299555,0.640628,,,5.25603,0.00167431,-0.0510441,999,,,,,,,10.480779933929444,4.649529087864888,10.27079725265503,4.556375659333046,,,,,,,,,,,,,,,,,,,"Emmanuel Chapman","sa3023456",820888
"Denton Biller","BAL",0,0,0,5.23374,1,1,0,0,,2.6,12,3,2,2,0,1,0,0,2,7.21909,4.10703,1.75774,1.56685,0.173793,0.0988728,0.07492001354694366,0.261775,1.53173,0.287784,0.696102,,,5.31598,0.0016687,-0.0410477,999,,,,,,,12.439999294281005,4.784615288683645,13.999999523162842,5.384615398722993,,,,,,,,,,,,,,,,,,,"Denton Biller","sa3069167",833410
"Carlos Carra","MIL",0,0,0,5.26316,1,1,0,0,,3.72143,16,4,2,2,1,2,0,0,2,5.82465,3.64054,1.59994,1.48593,0.149859,0.0936653,0.05619364231824875,0.262605,1.42005,0.278386,0.65718,,,5.34142,0.00161013,0.0322935,999,,,,,,,2.8385718822479244,0.7627640248903134,3.6071431636810303,0.9692898936580852,,,,,,,,,,,,,,,,,,,"Carlos Carra","sa3025013",820902
"Jay Groome",,0,0,0,5.03572,1,1,0,0,,4.53214,21,5,3,3,1,2,0,0,4,7.44655,4.7047,1.58279,1.45575,0.175506,0.110884,0.06462191045284271,0.253747,1.57267,0.282091,0.714258,,,5.31306,0.00156936,-0.0233264,999,,,,,,,10.237852001190188,2.2589432622613645,11.66071081161499,2.5728916688787558,,,,,,,,,,,,,,,,,,,"Jay Groome","sa917925",666130
"Justin Armbruester","NYM",0,0,0,5.19562,1,1,0,0,,4.14944,19,4,3,2,1,2,0,0,4,7.6016,3.9042,1.94703,1.73675,0.184872,0.0949509,0.08992128819227219,0.253865,1.47085,0.276978,0.699867,,,5.40546,0.00152057,-0.0447668,999,,,,,,,10.005851078033446,2.411374229272449,9.747196674346924,2.3490394455070986,,,,,,,,,,,,,,,,,,,"Justin Armbruester","sa3017548",701859
"Luke Farrell",,0,0,0,5.28667,1,1,0,0,,2.08076,10,2,1,1,0,1,0,0,1,5.89753,3.82065,1.54359,1.43271,0.143177,0.0927553,0.0504213348031044,0.270718,1.53517,0.289362,0.680935,,,5.3164,0.00147677,0.0308797,999,,,,,,,9.197618722915653,4.420318477446215,9.403796434402466,4.5194062060397115,,,,,,,,,,,,,,,,,,,"Luke Farrell","15101",608652
"David Lorduy","CIN",0,0,0,5.82509,1,1,0,0,,3.25448,14,3,2,2,1,1,0,0,2,4.94278,3.68711,1.34056,1.53168,0.131806,0.0983215,0.03348408639431,0.275496,1.43208,0.284855,0.60743,,,5.61598,0.00146258,0.0139993,999,,,,,,,4.983119392395019,1.531158937631957,4.272377967834473,1.3127700131719102,,,,,,,,,,,,,,,,,,,"David Lorduy","sa3019135",800124
"Randy Florentino",,0,0,0,5.36813,1,1,0,0,,2.5,12,3,2,1,0,1,0,0,2,6.59726,3.78116,1.74477,1.54993,0.159354,0.0913324,0.06802164018154144,0.271235,1.54039,0.29397,0.684165,,,5.31716,0.00146195,-0.0468128,999,,,,,,,11.7,4.68,13.5,5.4,,,,,,,,,,,,,,,,,,,"Randy Florentino","sa3005529",678594
"Jake Walkinshaw",,0,0,0,5.55351,1,1,0,0,,2.13334,9,2,1,1,0,1,0,0,1,4.94156,3.82318,1.29252,1.24428,0.124332,0.0961931,0.028138749301433563,0.28505,1.54873,0.302763,0.645505,,,5.25378,0.00139249,0.0331076,999,,,,,,,9.586739826202393,4.493763468258997,9.6667160987854,4.531252172299839,,,,,,,,,,,,,,,,,,,"Jake Walkinshaw","sa3010317",688445
"Josh Sanders","TEX",0,0,0,5.379,1,1,0,0,,2.02632,9,2,1,1,0,1,0,0,1,4.89201,3.4943,1.4,1.38187,0.126066,0.0900473,0.036018580198287964,0.272105,1.44323,0.28347,0.643545,,,5.34786,0.00139126,0.0233532,999,,,,,,,8.794736099243163,4.34025958867554,9.13157844543457,4.5064934820444424,,,,,,,,,,,,,,,,,,,"Josh Sanders","sa3067414",699560
"Nick Fraze",,0,0,0,4.82833,1,1,0,0,,2.55419,12,3,1,1,0,1,0,0,2,6.60933,3.98207,1.65977,1.35402,0.161185,0.0971129,0.06407240778207779,0.254333,1.47596,0.277799,0.703376,,,5.09966,0.00136133,0.0513068,999,,,,,,,12.100978946685792,4.737704034169965,13.770931720733643,5.391514112622064,,,,,,,,,,,,,,,,,,,"Nick Fraze","sa3010250",684946
"Jake Garland","ATH",0,0,0,5.86559,1,1,0,0,,4.15212,18,5,3,3,1,2,0,0,2,4.09598,3.38923,1.20853,1.24987,0.106188,0.087866,0.01832239329814911,0.298378,1.52937,0.310109,0.612413,,,5.29731,0.00134717,-0.0372833,999,,,,,,,3.425681781768798,0.8250441882832573,5.760595798492432,1.3873869166391524,,,,,,,,,,,,,,,,,,,"Jake Garland","sa3020077",687195
"Michael Carpenter","MIN",0,0,0,5.43016,1,1,0,0,,2.95556,14,3,2,2,0,1,0,0,2,6.09468,4.23398,1.43947,1.37403,0.147649,0.102572,0.04507697373628616,0.274679,1.58697,0.297948,0.675762,,,5.33037,0.00134226,-0.0160736,999,,,,,,,15.071110248565674,5.099248029564478,15.777777194976807,5.3383458780052235,,,,,,,,,,,,,,,,,,,"Michael Carpenter","sa3067133",827625
"Evan Yates","BAL",0,0,0,5.28375,1,1,0,0,,3.60891,16,4,2,2,1,2,0,0,3,6.5558,4.22479,1.55175,1.44072,0.1653,0.106525,0.058774761855602264,0.261378,1.48553,0.285437,0.669331,,,5.31687,0.00133577,0.0190332,999,,,,,,,4.005955791473385,1.1100172968296358,5.044564723968506,1.397807262501554,,,,,,,,,,,,,,,,,,,"Evan Yates","sa3025545",696524
"Aaron Brown",,0,0,0,5.29013,1,1,0,0,,3.86516,18,4,2,2,1,2,0,0,3,6.28466,3.53933,1.77566,1.59944,0.150568,0.0847952,0.06577254831790924,0.269106,1.52228,0.286586,0.691243,,,5.37576,0.00133367,0.0366734,999,,,,,,,5.902213907241817,1.5270280494801483,6.325820207595825,1.6366239930943587,,,,,,,,,,,,,,,,,,,"Aaron Brown","sa3017500",676345
"Chris Kachmar",,0,0,0,5.0741,1,1,0,0,,4.18645,18,4,3,2,1,2,0,0,3,6.85366,4.12237,1.66255,1.4931,0.174257,0.104813,0.0694439634680748,0.251018,1.42771,0.273808,0.679184,,,5.29022,0.00131003,-0.0376279,999,,,,,,,8.279730033874516,1.9777448732986465,7.932250022888184,1.894743760038872,,,,,,,,,,,,,,,,,,,"Chris Kachmar","sa1170503",690148
"Naoyuki Uwasawa",,0,0,0,5.46733,1,1,0,0,,2.86364,13,3,2,2,0,1,0,0,2,6.16064,4.28614,1.43734,1.39727,0.146185,0.101705,0.044479772448539734,0.276893,1.6265,0.300207,0.683391,,,5.36948,0.00129395,-0.0152929,999,,,,,,,14.39090828895569,5.02539673553182,15.318181276321411,5.349206362421791,,,,,,,,,,,,,,,,,,,"Naoyuki Uwasawa","33828",683822
"Kyle Virbitsky",,0,0,0,5.46872,1,1,0,0,,2.45992,10,2,2,1,0,1,0,0,2,6.04577,3.64137,1.6603,1.50173,0.159847,0.0962757,0.06357099860906601,0.267524,1.40831,0.287258,0.633894,,,5.31269,0.00127172,-0.049114,999,,,,,,,14.003428649902347,5.692629339354336,13.299613952636719,5.406516823963254,,,,,,,,,,,,,,,,,,,"Kyle Virbitsky","sa3017491",680223
"Yordin Chalas","ARI",0,0,0,5.12788,1,1,0,0,,2.27249,10,2,1,1,0,1,0,0,2,6.73666,4.78514,1.40783,1.17543,0.16311,0.115859,0.04725086688995361,0.266331,1.5981,0.299462,0.689483,,,5.09069,0.00126647,0.0442917,999,,,,,,,12.616426181793216,5.551807068635687,12.362450122833252,5.440045936039122,,,,,,,,,,,,,,,,,,,"Yordin Chalas","sa3021508",808054
"Aaron Combs","PHI",0,0,0,5.30562,1,1,0,0,,2.82521,13,3,2,2,0,1,0,0,2,7.0339,4.25696,1.65233,1.58014,0.166304,0.100649,0.06565584987401962,0.263754,1.57399,0.287648,0.700287,,,5.42993,0.00125749,-0.0179805,999,,,,,,,14.106526470184328,4.993096104617692,15.126031398773193,5.353956455203281,,,,,,,,,,,,,,,,,,,"Aaron Combs","sa3025490",694551
"Johnathan Harmon","CIN",0,0,0,5.77374,1,1,0,0,,4.00061,17,4,3,3,1,2,0,0,2,5.25662,3.89619,1.34917,1.52402,0.134037,0.0993481,0.034689053893089294,0.27727,1.50773,0.289938,0.635138,,,5.61161,0.00123008,-0.0308393,999,,,,,,,4.90452365875244,1.2259435582588087,5.003056526184082,1.2505730110883455,,,,,,,,,,,,,,,,,,,"Johnathan Harmon","sa3020452",801333
"Edwin Jimenez","MIL",0,0,0,5.47912,1,1,0,0,,4.89315,21,5,3,3,1,2,0,0,3,5.11901,3.33462,1.53511,1.46974,0.134092,0.08735,0.046741873025894165,0.273082,1.41532,0.284917,0.632336,,,5.36773,0.00122804,0.00654795,999,,,,,,,10.909284210205076,2.2295028724363823,11.46573257446289,2.3432228198289713,,,,,,,,,,,,,,,,,,,"Edwin Jimenez","sa3010800",683720
"Chia-Shi Shen","SEA",0,0,0,5.09945,1,1,0,0,,4.31875,18,4,3,2,1,2,0,0,3,5.21071,3.2701,1.59344,1.32271,0.135616,0.0851088,0.05050695687532425,0.266837,1.39351,0.281747,0.652198,,,5.11339,0.00119876,-0.0499206,999,,,,,,,9.258749294281005,2.1438493774204144,8.593749523162842,1.9898696875094883,,,,,,,,,,,,,,,,,,,"Chia-Shi Shen","sa3067456",828430
"Peyton Stumbo","PIT",0,0,0,5.547,1,1,0,0,,3.02907,13,3,2,2,0,1,0,0,2,4.82185,3.64786,1.32183,1.30155,0.125043,0.0945985,0.030444666743278503,0.280487,1.48031,0.29515,0.631642,,,5.29967,0.00116855,-0.0052244,999,,,,,,,15.615136671066285,5.1550884146535845,16.145362615585327,5.330134056668591,,,,,,,,,,,,,,,,,,,"Peyton Stumbo","sa3023009",814482
"Aaron Davenport","CLE",0,0,0,5.35058,1,1,0,0,,4.90311,21,5,3,3,1,2,0,0,3,5.66402,3.9613,1.42984,1.38758,0.146824,0.102686,0.04413807392120361,0.265274,1.44774,0.283075,0.648115,,,5.34476,0.00107334,-0.00074406,999,,,,,,,10.983010673522951,2.2400092350489174,11.515547752380371,2.348621346072566,,,,,,,,,,,,,,,,,,,"Aaron Davenport","sa3017615",702126
"Tucker Novotny","ATH",0,0,0,5.41083,1,1,0,0,,2.57333,11,3,2,2,0,1,0,0,2,6.66245,4.57393,1.45661,1.38257,0.171105,0.117468,0.053637318313121796,0.262173,1.49603,0.290265,0.655276,,,5.32753,0.00101181,-0.0375814,999,,,,,,,12.242666149139403,4.757512881552349,13.866666316986084,5.388601046830537,,,,,,,,,,,,,,,,,,,"Tucker Novotny","sa3038957",701512
"Hung-Leng Chang","PIT",0,0,0,5.57573,1,1,0,0,,4.09093,18,5,3,3,1,2,0,0,2,4.58609,3.53875,1.29596,1.30411,0.11766,0.0907895,0.0268702432513237,0.283561,1.49653,0.29613,0.633758,,,5.31928,0.00101155,-0.0332252,999,,,,,,,2.972892475128173,0.7267030837579499,5.454657077789307,1.3333533427241484,,,,,,,,,,,,,,,,,,,"Hung-Leng Chang","sa3019518",800213
"Marlon Nieves","LAD",0,0,0,5.55107,1,1,0,0,,4.165,18,4,3,3,1,2,0,0,3,5.72994,4.81824,1.18922,1.28434,0.151525,0.127416,0.024109482765197754,0.26342,1.48788,0.285487,0.632111,,,5.47407,0.00100393,-0.0353326,999,,,,,,,8.120999717712403,1.949819878053332,7.824999809265137,1.8787514720129215,,,,,,,,,,,,,,,,,,,"Marlon Nieves","sa3021567",812363
"Tanner Tully",,0,0,0,5.43474,1,1,0,0,,4.36029,19,5,3,3,1,1,0,0,2,4.6164,2.44328,1.88943,1.71113,0.114862,0.060792,0.054069969803094864,0.276119,1.4175,0.277279,0.658333,,,5.5264,0.000963003,-0.0319684,999,,,,,,,7.9661746025085485,1.8269811275979457,9.801469326019287,2.2478919148631826,,,,,,,,,,,,,,,,,,,"Tanner Tully","19518",668684
"Rich Hill",,0,0,0,5.72519,1,1,0,0,,4.47354,20,5,3,3,1,2,0,0,3,6.50808,4.0571,1.60412,1.51849,0.160478,0.100041,0.060436710715293884,0.280557,1.57451,0.30673,0.657339,,,5.38439,0.000928529,-0.0142861,999,,,,,,,7.804230022430421,1.7445293887474376,9.367722988128662,2.0940269586449283,,,,,,,,,,,,,,,,,,,"Rich Hill","4806",448179
"Cam Day","LAD",0,0,0,5.50393,1,1,0,0,,3.08733,14,3,2,2,0,2,0,0,2,6.15329,4.64046,1.32601,1.37705,0.155488,0.11726,0.03822772949934006,0.266278,1.53553,0.289591,0.656606,,,5.45725,0.000906064,-0.00622808,999,,,,,,,13.046260404586793,4.225738711030348,13.436662435531616,4.352191573679662,,,,,,,,,,,,,,,,,,,"Cam Day","sa3023201",701764
"Cooper Chandler",,0,0,0,5.52544,1,1,0,0,,3.00055,13,3,2,2,1,1,0,0,2,6.04949,3.48443,1.73615,1.56445,0.156976,0.0904162,0.06655982881784439,0.271315,1.43138,0.289866,0.640414,,,5.35027,0.000882433,-0.0176199,999,,,,,,,3.104071998596191,1.0345009145648625,3.002751350402832,1.000733558888919,,,,,,,,,,,,,,,,,,,"Cooper Chandler","sa3020641",695265
"Jonny Cuevas","TBR",0,0,0,5.43291,1,1,0,0,,2.44737,10,2,2,1,0,1,0,0,1,4.78264,4.09154,1.16891,1.29329,0.124834,0.106795,0.018038801848888397,0.268037,1.46087,0.280136,0.636306,,,5.44858,0.000875047,-0.0455569,999,,,,,,,11.910571908950807,4.866673044304875,11.236872911453247,4.591398878113689,,,,,,,,,,,,,,,,,,,"Jonny Cuevas","sa3017931",681328
