Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ketel Marte","ARI",147,637,559,150,91,31,2,25,85,84,67,3,108,7,4,0,,6,2,0.267782,0.105049,0.169961,0.618077,0.350479,0.466607,0.352137,0.817086,0.198825,3.89747,0.28927,-0.105035,-0.572785,95.479,20.2125,125.826,-0.67782,-1.09421,18.820287585258484,-1.2192132472991943,3.96913,40.189998626708984,,,,,,,845.1,5.748979591,845.1,5.748979591,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Jazz Chisholm Jr.","NYY",143,616,547,135,82,22,2,29,78,81,60,2,159,5,4,0,,34,9,0.24637,0.0970526,0.257962,0.376228,0.324264,0.452311,0.334628,0.776575,0.205942,5.87959,0.291733,0.939898,2.05519,83.5744,10.7892,116.185,2.99509,-0.912064,14.745566844940186,0.6879357695579529,3.74824,21.809999465942383,,,,,,,791.2,5.532867132,791.2,5.532867132,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Jordan Westburg","BAL",143,616,561,144,87,30,2,25,77,82,42,2,140,8,4,1,,6,2,0.256268,0.067959,0.228083,0.297957,0.315299,0.450831,0.329206,0.76613,0.194563,4.26165,0.297421,0.192062,-0.664417,80.8628,8.07766,112.766,-0.472355,-1.23362,8.796074509620667,0.36638426780700684,3.10664,128.10000610351562,,,,,,,734.6,5.137062937,734.6,5.137062937,,,,,,,,,,,,,,,,,,,"Jordan Westburg","27815",676059
"Nico Hoerner","CHC",154,665,601,163,123,31,2,7,75,58,46,1,67,10,5,3,,29,6,0.270951,0.069281,0.100586,0.688776,0.330727,0.363661,0.306945,0.694388,0.0927102,5.62133,0.293338,1.06049,1.99617,75.2759,-3.29901,97.6445,3.05666,4.32481,1.200153112411499,6.7998106479644775,3.08213,101.02999877929688,,,,,,,685.2,4.449350649,685.2,4.449350649,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Jackson Holliday","BAL",134,581,505,128,84,26,3,16,75,64,66,1,128,4,4,2,,15,5,0.254199,0.114171,0.220468,0.51786,0.342859,0.412367,0.33078,0.755226,0.158168,5.02919,0.307533,-0.0446071,-0.260339,77.0106,8.361,113.85,-0.304946,-1.56811,9.179170727729797,0.6568876504898071,3.0523,142.35000610351562,,,,,,,679.2,5.068656716,679.2,5.068656716,,,,,,,,,,,,,,,,,,,"Jackson Holliday","31781",702616
"Gleyber Torres","DET",154,665,582,153,105,28,1,19,78,73,73,2,113,4,5,1,,6,2,0.262927,0.110039,0.169206,0.650327,0.346708,0.410271,0.331872,0.756979,0.147344,3.10103,0.294745,-0.963378,-0.977827,88.7344,10.1596,112.907,-1.9412,-3.9103,8.175225615501404,-1.5352988243103027,3.0211,241.7100067138672,,,,,,,777.1,5.046103896,777.1,5.046103896,,,,,,,,,,,,,,,,,,,"Gleyber Torres","16997",650402
"Luke Keaschall","MIN",130,560,486,123,84,26,1,13,66,59,55,1,105,13,4,2,,25,6,0.254054,0.0983594,0.187122,0.525642,0.343121,0.390975,0.324495,0.734096,0.136921,5.02083,0.296784,0.038571,1.55605,71.3697,5.20134,107.318,1.59462,-0.0363021,6.424893498420715,1.3636978268623352,2.76887,150.97000122070312,,,,,,,640.8,4.929230769,640.8,4.929230769,,,,,,,,,,,,,,,,,,,"Luke Keaschall","33321",807712
"Brice Turang","MIL",152,658,586,150,107,26,2,15,77,65,62,1,133,2,5,3,,30,7,0.255868,0.0942967,0.201856,0.467149,0.327083,0.38368,0.312414,0.710762,0.127812,5.49376,0.305279,0.582189,2.10012,77.4051,-0.342658,100.353,2.68231,-0.242057,2.957743674516678,2.107942834496498,2.75809,66.55000305175781,,,,,,,711.2,4.678947368,711.2,4.678947368,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Bryson Stott","PHI",144,623,557,142,99,27,2,14,72,64,56,1,104,3,4,3,,26,6,0.255223,0.0899006,0.166534,0.539832,0.324651,0.387131,0.312466,0.711782,0.131908,5.45538,0.288569,0.460109,1.87505,73.3142,-0.2981,98.0237,2.33516,1.38951,0.8759204149246216,3.7145053148269653,2.59033,181.5500030517578,,,,,,,669.1,4.646527777,669.1,4.646527777,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Brendan Donovan","STL",134,581,514,139,97,27,1,13,68,62,51,2,80,11,4,2,,5,3,0.270101,0.0870256,0.137412,0.633321,0.345539,0.403493,0.328928,0.749032,0.133391,3.05561,0.295478,-0.28758,-1.3123,76.137,7.48733,113.059,-1.59988,-1.33463,7.392699241638184,-1.8596333861351013,2.5438,281.94000244140625,,,,,,,657.7,4.908208955,657.7,4.908208955,,,,,,,,,,,,,,,,,,,"Brendan Donovan","24679",680977
