Team,R,HR,OBP,SLG,K,HR9,ERA,WHIP,TOTAL,CHG
St. CGT VI,12.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,90.0,0.0
Jack Klugman's Second Best Lung,10.0,12.0,12.0,12.0,5.0,3.0,8.0,6.0,68.0,0.0
Roar from 34,2.0,8.0,5.0,9.0,11.0,10.0,12.0,10.0,67.0,0.5
Carlos Pérez's K-Dance,5.0,7.0,6.0,5.0,6.0,11.0,10.0,9.0,59.0,1.0
Yoshi Teddy Bear,11.0,9.0,7.0,10.0,8.0,2.0,2.0,3.0,52.0,1.0
The Rime of Jamie Moyer,8.0,6.0,8.0,7.0,4.0,7.0,4.0,7.0,51.0,1.0
🦫 Beavers in Scoring Position!,9.0,11.0,2.0,8.0,7.0,5.0,5.0,4.0,51.0,0.0
Hornswogglers,3.0,5.0,3.0,3.0,2.0,9.0,9.0,12.0,46.0,0.5
Roberto Big Piece and the 69ers,6.0,4.0,10.0,6.0,3.0,6.0,7.0,2.0,44.0,0.0
Smoak and Mirrors,4.0,2.0,9.0,2.0,9.0,8.0,3.0,5.0,42.0,0.0
Largely Indistinguishables,1.0,1.0,1.0,1.0,10.0,4.0,6.0,8.0,32.0,0.0
Chili Dog MVP,7.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,22.0,1.0
