FG ID,Team,W,L,QS,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,WAR,ADP,POS,Ottoneu ID,Ottoneu Positions,Name
21863,STL,2.421918,1.760192,0.0,39.99626,0.0,0.03113652,2.803108,43.44002,188.263,41.36676,23.234479999999998,21.407760000000003,5.484126,18.05196,2.2336039999999997,40.24244,-0.030283743999999998,999.0,['RP'],32411,RP,George Soriano
21894,SFG,2.065956,1.735604,0.0,39.55712,0.0,1.77122,3.867622,40.23674,176.4548,38.77348,19.5064,17.5459,3.265474,18.12914,2.263386,34.30912,0.08136056,999.0,['RP'],32213,RP,Gregory Santos
21924,ARI,2.156256,2.3352960000000005,0.0,49.279979999999995,0.0,0.01810878,5.41771,48.93318000000001,218.1768,46.3952,24.545,22.6134,4.695793999999999,25.42052,2.4212040000000004,46.46418,0.004510058,999.0,['RP'],32492,RP,Juan Morillo
21951,SFG,2.506848,1.998674,0.0,44.2538,0.0,0.634068,4.023346,45.868939999999995,201.25220000000002,44.83614,23.191499999999998,21.608179999999997,5.1388940000000005,19.75576,2.0475019999999997,39.608540000000005,-0.021155979999999998,999.0,['RP'],32455,RP,Joel Peguero
21955,NYY,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2134,6.000000000000001,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.000708789,999.0,['RP'],32688,RP,Yerry Rodriguez
21992,NYY,4.038238,3.270642,0.0,62.25478,0.0,3.647906,14.94896,62.9167,268.0958,50.25004,26.432199999999998,24.3176,5.57136,30.89522,3.15885,71.5749,0.6437938000000001,684.5800170898438,['RP'],32051,RP,Camilo Doval
22051,MIA,2.393886,2.301126,0.0,47.41294,0.0,0.01284138,5.451682,48.38044,209.51319999999998,51.908139999999996,23.9105,22.02966,4.686206,14.58892,1.5568279999999999,32.919579999999996,0.09130455999999999,999.0,['RP'],35862,RP,John King
22100,LAA,10.375844,9.63876,14.9655,29.97712,29.97712,0.0,0.0,171.7504,737.6394,156.075,77.86498,71.76375999999999,13.88356,74.46488,9.006636,159.2508,2.876182,330.739990234375,['SP'],32009,SP,Jose Soriano
22113,TEX,2.6954160000000003,3.0690660000000003,0.0,57.77652,0.0,4.556934,11.073260000000001,62.24226,271.1764,58.192679999999996,32.805119999999995,30.03672,7.57964,27.74398,3.40032,55.07082,-0.03123398,999.0,['RP'],33633,RP,Cole Winn
22116,CIN,1.0,1.0,0.0,18.0,0.0,0.0,1.0,18.0,79.0,18.0,9.0,9.0,3.0000000000000004,7.0,1.0,17.0,0.0125129,999.0,['RP'],26718,RP,Hagen Danner
22176,MIL,1.699376,1.3260794,0.0,31.03254,0.0,0.0,0.9364168,33.60558,142.7492,31.45818,16.42616,14.95206,3.9555439999999997,11.299328,1.487618,29.288539999999998,0.050864400000000004,999.0,['RP'],32597,RP,Easton McGee
22182,CIN,4.899024000000001,3.59029,6.862434,12.878219999999999,12.878219999999999,0.0,0.0,74.06848,302.3842,57.86482,31.06998,28.840359999999997,10.301684000000002,24.452060000000003,3.883306,90.15693999999999,1.597082,296.4200134277344,['SP'],23824,SP,Hunter Greene
22187,COL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4652899999999998,6.000000000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.00030072,999.0,['RP'],35508,RP,Ryan Miller
22191,NYM,3.524716,3.042498,1.7707314000000003,48.23266,3.7231140000000003,0.0,7.505576,68.39032,290.7584,66.35932,34.38004,31.309620000000002,9.463771999999999,20.759819999999998,2.6870760000000002,58.17946,0.3004018,999.0,['RP'],23850,SP/RP,Tobias Myers
22192,BAL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0831,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.00260342,999.0,['RP'],26794,RP,Hans Crouse
22200,CHC,1.203428,1.2951932,0.0,26.629440000000002,0.2988534,0.0,1.06321,28.69428,124.7424,29.17362,16.04906,14.60514,4.0472660000000005,11.16296,1.2096613999999999,21.87706,-0.0921308,999.0,['RP'],35630,RP,Ryan Rolison
22201,TEX,9.748414,9.410832000000001,13.46074,28.23668,28.23668,0.0,0.0,158.216,668.0160000000001,138.1494,73.95218,68.00402,20.50356,60.6065,7.056008,177.66,2.590506,164.8699951171875,['SP'],23810,SP,MacKenzie Gore
22207,MIL,2.72745,2.589042,0.005960184,48.220600000000005,0.1269204,0.0989148,5.496,53.657439999999994,230.9466,48.102320000000006,26.835900000000002,24.75304,6.452488000000001,24.20082,2.628372,50.71282,0.06591488,999.0,['RP'],27165,RP,DL Hall
22210,SDP,4.292024,3.025608,0.0,66.85426,0.0,1.8176999999999999,18.913739999999997,67.69402,278.4934,49.108999999999995,25.4396,23.34048,8.188327999999998,27.26096,2.6137620000000004,91.43114,0.9058436000000001,606.780029296875,['RP'],27208,RP,Jeremiah Estrada
22224,KCR,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.23531,10.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0129247,999.0,['SP'],35005,RP,Jonathan Heasley
22250,SEA,11.03226,7.455634,15.61282,28.37336,28.37336,0.0,0.0,164.52320000000003,660.7556,134.7052,65.33908000000001,60.06398,21.0053,37.65294,6.130276,184.3444,3.33745,36.90999984741211,['SP'],33682,SP,Logan Gilbert
22264,BAL,9.470085999999998,9.05217,12.8208,27.67984,27.67984,0.0,0.0,153.3696,647.3728000000001,139.8048,76.0051,69.86068,21.15278,54.13578,7.445224,152.575,2.007424,191.0500030517578,['SP'],23794,SP,Shane Baz
22267,DET,14.55264,6.756664,20.096780000000003,30.472099999999998,30.472099999999998,0.0,0.0,194.13400000000001,763.9544,148.91920000000002,62.323080000000004,56.953199999999995,18.62452,40.584019999999995,7.049455999999999,236.0158,5.980586000000001,6.880000114440918,['SP'],35204,SP,Tarik Skubal
22276,NYY,0.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,37.0,7.0,5.0,4.0,1.0,6.000000000000001,0.0,8.0,-0.0219379,999.0,['RP'],34864,RP,Dylan Coleman
22286,BAL,8.857914,8.346774,11.61598,25.61276,25.61276,0.0,0.0,145.00480000000002,613.41,139.26600000000002,72.49502,66.66338,18.07708,47.23856,5.830294,125.5634,2.015102,149.63999938964844,['SP'],33607,SP,Trevor Rogers
22288,TBR,2.745972,2.6885460000000005,0.0,55.96176,0.0,0.5476372,10.23108,60.868379999999995,256.36879999999996,57.02692,29.10084,26.836779999999997,7.691224,18.1821,2.67288,57.10996,0.3173484,999.0,['RP'],38727,RP,Mason Englert
22294,STL,7.807898,9.823048,11.543816,27.709600000000002,27.709600000000002,0.0,0.0,149.88580000000002,638.5442,149.8306,78.91865999999999,72.70116,19.51558,47.07732,6.126958,124.17940000000002,1.634276,507.19000244140625,['SP'],33611,SP/RP,Matthew Liberatore
22304,DET,2.615886,2.751906,0.0,53.10628,0.0,0.1051314,10.301155999999999,56.1268,238.7618,56.435080000000006,26.37828,24.33202,5.584506,15.9788,2.53062,42.91126,0.29068380000000005,999.0,['RP'],32599,RP,Brenan Hanifee
22310,CHW,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8716900000000003,9.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,-0.00856184,999.0,['RP'],32604,SP/RP,Chris Rodriguez
22361,CLE,2.233524,2.1680960000000002,0.0,39.61332,0.0,0.038183579999999995,3.0283239999999996,40.293,174.69559999999998,37.2221,19.59862,18.23874,4.6745,17.18424,2.324324,38.35604000000001,0.040432579999999996,999.0,['RP'],32710,RP,Colin Holderman
22387,TOR,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.19742,10.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.03323,999.0,['SP'],32834,RP,Josh Winckowski
22461,SDP,0.7612137999999999,0.7291852,0.0,18.06774,0.0,0.0,0.6501622,19.65828,87.84559999999999,20.7446,11.199764000000002,10.351786,3.046744,7.2758400000000005,0.9555508,15.02718,-0.06530874,999.0,['RP'],35719,SP/RP,Logan Gillaspie
22487,BOS,5.445228,3.50948,6.004304,33.97542,14.69004,0.0,0.8381362,94.7878,406.8166,86.36496,48.933679999999995,45.019000000000005,12.11766,40.20598,5.320826,91.82796,0.9417128,534.7000122070312,['SP'],33424,SP,Johan Oviedo
22533,TEX,0.9341775999999999,0.8363992,0.0,17.161,0.0,0.02329362,1.30741,17.28664,75.86188,14.22496,8.412652,7.563642000000001,2.0546360000000004,9.9255,1.23121,20.19628,0.015605420000000002,999.0,['RP'],33493,RP,Michel Otanez
22543,MIN,7.318568,6.919976,10.71982,31.04278,23.58162,0.0,0.5916592,134.6428,572.1366,126.91739999999999,69.56454,64.20736,18.7285,47.46598,5.33761,130.6164,1.697832,505.3699951171875,['SP'],35367,SP,Taj Bradley
22630,DET,2.9583060000000003,2.8297220000000003,2.678718,28.39554,4.983601999999999,0.0,0.8715862000000001,54.33276,233.88799999999998,54.44964,29.77884,27.55654,8.009924000000002,18.98602,2.400066,45.56334,0.2410558,999.0,"['RP', 'SP']",25866,SP/RP,Keider Montero
22713,CLE,0.7311190000000001,0.7848808,0.0,17.446060000000003,0.0,0.0,0.9262282000000001,17.97094,77.50489999999999,16.08424,9.239954000000001,8.452756,2.4059040000000005,7.932537999999999,0.800665,17.74252,0.026850852,999.0,['RP'],26521,RP,Carlos Hernandez
22717,MIL,3.673756,2.7179580000000003,0.0,58.17624,0.10752959999999999,0.014479439999999998,12.0159,59.30298,250.13139999999999,53.317139999999995,25.44948,23.38156,6.065964,20.16588,2.716422,56.667899999999996,0.39398900000000003,999.0,['RP'],25903,RP,Angel Zerpa
