FG ID,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HBP,SF,WAR,ADP,POS,Ottoneu ID,Ottoneu Positions,Name
sa3024304,CLE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000793044,999.0,['OF'],45221,OF,Robert Arias
sa3024305,KCR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1813e-05,999.0,['SS'],45222,SS,Yandel Ricardo
sa3024311,SDP,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00304014,999.0,['OF'],45228,OF,Jesmaylin Arias
sa3024319,CHC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00102564,999.0,['OF'],45236,OF,Cesar Lugo
sa3024324,BOS,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131209,999.0,['OF'],45241,Util,Jesus Lugo
sa3024327,CLE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171535,999.0,['SS'],45244,SS,Dauri Fernandez
sa3024329,CLE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138858,999.0,['OF'],45246,OF,Juneiker Caceres
sa3024340,ATL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00205355,999.0,['SS'],45257,3B,Juan Mateo
sa3024344,ATL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000877437,999.0,['C'],45261,C,Manuel Dos Passos
sa3024357,LAD,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008181570000000001,999.0,['C'],45274,C,Francisco Espinoza
sa3024361,KCR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00264681,999.0,['SS'],45278,SS/3B,Jhonayker Ugarte
sa3024364,CLE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00105908,999.0,['SS'],45281,SS,Johan Rodriguez
sa3024368,DET,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00127565,999.0,['SS'],45285,OF,Ronald Ramirez
sa3024476,NYM,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000807615,999.0,['OF'],45329,OF,Edward Lantigua
sa3024627,BAL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00142528,999.0,['OF'],45450,OF,Stiven Martinez
sa3024645,CLE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020357599999999996,999.0,['SS'],45468,Util,Gabriel Rodriguez
sa3024654,ATL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00108402,999.0,['OF'],45477,Util,Michael Martinez
sa3024879,COL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000116727,999.0,['OF'],45553,OF,Carlos Renzullo
sa3024928,MIN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000192561,999.0,['OF'],45583,OF,Eduardo Beltre
sa3025104,ATL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00298846,999.0,['SS'],45701,SS,Jose Perdomo
sa3025119,SEA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00154881,999.0,['OF'],45718,3B/OF,Dustin Crenshaw
sa3025145,TOR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018369800000000002,999.0,['OF'],45738,OF,Andres Arias
sa3025151,STL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022033599999999999,999.0,['C'],45742,C,Ryan Campos
sa3025152,TOR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000288874,999.0,['C'],45743,C,Aaron Parker
sa3025154,STL,86.60096,366.1628,321.62840000000006,79.61512,54.543440000000004,15.76852,1.010468,8.292667999999999,41.37388,38.03712,35.13852,5.461679999999999,2.891568,1.549056,999.0,['SS'],45713,2B/SS,JJ Wetherholt
sa3025157,LAD,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000905806,999.0,['SS'],45748,2B/SS,Elijah Hainline
sa3025158,STL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000286768,999.0,['C'],45749,C/1B,Josh Kross
sa3025159,STL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092244,999.0,['OF'],45750,OF,Ian Petrutz
sa3025160,STL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000524223,999.0,['SS'],45751,2B/SS/3B,Jon Jon Gazdar
sa3025170,TOR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000589892,999.0,['OF'],45758,1B/OF,Carter Cunningham
sa3025171,TOR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00134076,999.0,['C'],45759,C,Brock Tibbitts
sa3025184,NYY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000678631,999.0,['OF'],45764,Util,Joe Delossantos
sa3025187,TEX,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008892630000000001,999.0,['SS'],45767,SS,Theo Hardy
sa3025192,MIA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000279167,999.0,['OF'],45775,OF,Micah McDowell
sa3025194,MIA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060763,999.0,['OF'],45777,1B/3B/OF,Michael Snyder
sa3025195,MIA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3833e-05,999.0,['SS'],45778,SS,Payton Green
sa3025196,PHI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026792,999.0,['OF'],45779,OF,Carter Mathison
sa3025197,PHI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00121794,999.0,['OF'],45780,OF,John Spikerman
sa3025199,MIA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000560648,999.0,['OF'],45782,OF,PJ Morlando
sa3025201,MIA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00228211,999.0,['OF'],45784,OF,Jacob Jenkins-Cowart
