PlayerId,MLBAMID,Name,Team,NameASCII,W,L,QS,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,WAR,ADP,POS
12447,607625,Seth Lugo,KCR,Seth Lugo,8.377352,10.094332,12.6644,27.34168,27.34168,0.0,0.0,157.4696,678.0704000000001,160.9616,87.86736,80.406,22.8678,51.65384,6.79572,129.89600000000002,1.509502,354.8999938964844,['SP']
12572,595014,Blake Treinen,LAD,Blake Treinen,3.037188,3.2654759999999996,0.0,59.50716,0.0,0.960668,13.89464,58.77348,248.2792,50.09988,26.82184,24.12408,7.060716,23.528399999999998,2.888032,66.22804,0.45465,745.030029296875,['RP']
12718,605288,Adrian Houser,SFG,Adrian Houser,8.250224,8.432248,11.431764,25.501440000000002,25.501440000000002,0.002429512,0.0,143.7956,625.2484,151.2344,77.6868,71.11188,15.812,49.210480000000004,6.8205,107.80199999999999,1.3550499999999999,475.45001220703136,['SP']
12763,606965,Chris Devenski,PIT,Chris Devenski,0.933786,1.084456,0.0,26.06228,0.045024,0.0,1.060048,26.46772,112.06812,24.9578,13.742560000000001,12.76316,3.662216,8.682748,0.9865508000000001,22.08744,-0.019177438,999.0,['RP']
12768,543243,Sonny Gray,BOS,Sonny Gray,11.99776,9.625872,15.743559999999999,30.30632,30.30632,0.0,0.0,178.0044,739.4108,167.49400000000003,82.40352,75.64323999999999,21.269840000000002,47.37236,6.431708,185.7184,3.6099880000000004,116.61000061035156,['SP']
12777,605154,John Brebbia,COL,John Brebbia,0.752594,0.9486168,0.0,21.19044,0.0245566,0.09824440000000001,1.110468,21.324959999999997,93.0418,22.087,13.26652,11.725208,3.603172,7.824739999999999,0.9784164,19.95128,0.011689356,999.0,['RP']
12784,572143,Burch Smith,DET,Burch Smith,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.08159,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.00346722,999.0,['RP']
12791,547184,Michael Kelly,ATH,Michael Kelly,3.318696,3.3761159999999997,0.0,60.11412,0.0,2.599328,9.917696,60.571160000000006,265.01599999999996,58.291079999999994,32.80164,29.91352,8.415896,26.675159999999998,3.0255520000000002,54.18884,-0.09759148000000001,742.1599731445312,['RP']
12828,552640,Andrew Kittredge,BAL,Andrew Kittredge,4.083672,3.318276,0.0,66.44596,0.0,5.190756,14.8504,66.26476,276.61400000000003,59.97188,29.81528,27.07008,8.171376,20.00292,2.59088,68.52076,0.6106716,468.45001220703125,['RP']
12857,542888,Shawn Armstrong,CLE,Shawn Armstrong,3.7101,2.933648,0.0,67.45884,0.3230288,3.086672,16.88132,68.18068,285.9156,59.669560000000004,30.64416,28.4326,8.004488,22.7608,3.207432,67.95192,0.47730839999999997,611.3900146484375,['RP']
12970,605397,Joe Musgrove,SDP,Joe Musgrove,10.062868,8.677779999999998,14.031199999999998,26.652880000000003,26.652880000000003,0.0,0.0,150.3264,631.088,140.05399999999997,69.50880000000001,63.75608,20.31596,39.77712,7.183024,144.3432,2.348536,245.22999572753903,['SP']
13074,506433,Yu Darvish,SDP,Yu Darvish,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.07883,21.0,5.0,3.0,2.0,1.0,2.0,0.0,5.0,0.0613632,750.8699951171875,['SP']
13125,543037,Gerrit Cole,NYY,Gerrit Cole,8.224024,6.279104,11.723364,21.13976,21.13976,0.0,0.0,121.07,507.16679999999997,105.2038,53.89096000000001,49.21968,17.082279999999997,37.08728,5.179092,129.31560000000002,2.00541,291.7699890136719,['SP']
13164,593958,Eduardo Rodriguez,ARI,Eduardo Rodriguez,8.13238,9.468808,10.551559999999998,25.191,25.191,0.0,0.0,139.6748,600.414,140.5692,77.25772,71.31712,19.48484,50.29548,5.574344,120.7412,1.2356600000000002,544.7100219726562,['SP']
13346,571948,Hoby Milner,CHC,Hoby Milner,2.8057239999999997,2.6971999999999996,0.0,60.482839999999996,0.0,0.01702876,12.762440000000002,60.29052,256.216,58.71464,28.153360000000003,26.04508,6.769336,18.46696,2.749008,51.72912,0.2632852,999.0,['RP']
13361,571927,Steven Matz,TBR,Steven Matz,6.01116,5.496876,10.4727,34.29528,22.119079999999997,0.03306564,1.080636,132.562,562.5432000000001,127.90280000000001,63.729119999999995,58.6068,17.47928,37.89416,5.446803999999999,114.798,1.7975539999999999,512.77001953125,['SP']
13435,572955,Pierce Johnson,CIN,Pierce Johnson,3.092272,3.217564,0.0,60.722120000000004,0.0,1.089116,11.41152,60.2488,257.1232,54.073,29.81176,27.66684,8.852144,24.77956,2.652608,65.13544,0.2485912,739.260009765625,['RP']
13449,573124,Taylor Rogers,MIN,Taylor Rogers,2.59658,2.58176,0.0,56.97684,0.0,12.08098,5.409516,57.08032,243.9152,49.409639999999996,26.38868,24.42156,6.678176000000001,24.02724,2.8807479999999996,59.391239999999996,0.36311419999999994,746.8699951171875,['RP']
13543,605483,Blake Snell,LAD,Blake Snell,10.728919999999999,7.551684,13.89,25.45916,25.45916,0.0,0.0,149.0292,621.5804,116.95160000000001,62.987719999999996,57.46872,16.9632,64.95784,5.587864000000001,180.3476,2.95049,69.26000213623047,['SP']
13580,595345,Steven Okert,HOU,Steven Okert,2.9732719999999997,2.7478119999999997,0.0,63.6306,0.03723972,0.031378840000000005,12.257564,63.6288,267.6344,52.48536,29.074640000000002,26.89268,8.92998,23.4628,3.070252,71.79556,0.3876672,749.6500244140625,['RP']
13594,596112,Robert Stephenson,LAA,Robert Stephenson,2.897972,2.7030839999999996,0.0,59.56976,0.0,13.985712,7.747816,59.50244000000001,248.5716,49.72828,26.9022,24.798000000000002,8.332028,21.585720000000002,2.818556,66.3644,0.5340642,360.4500122070313,['RP']
13607,605218,Carl Edwards Jr.,NYM,Carl Edwards Jr.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.4092,11.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0208875,999.0,['SP']
13619,596001,Jakob Junis,TEX,Jakob Junis,2.885656,2.5340599999999998,0.10092280000000001,62.3108,0.138014,0.62046348,9.185644,64.48104000000001,270.85360000000003,62.453959999999995,32.11228,29.327280000000002,8.218936,17.87112,2.9785880000000002,55.290000000000006,0.2924462,745.6099853515625,['RP']
13649,605280,Clay Holmes,NYM,Clay Holmes,10.113520000000001,9.07704,12.15958,28.305120000000002,28.305120000000002,0.2247804,0.0,157.1,677.9316,151.2784,77.50104,70.89295999999999,15.48344,62.05776,7.928836,129.4828,1.9496980000000002,348.45001220703125,['SP']
13652,605463,Tayler Scott,ATL,Tayler Scott,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.06115,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-0.00244229,999.0,['RP']
