FG ID,Team,G_mySGP,PA_mySGP,AB_mySGP,H_mySGP,1B_mySGP,2B_mySGP,3B_mySGP,HR_mySGP,R_mySGP,RBI_mySGP,BB_mySGP,HBP_mySGP,SF_mySGP,WAR_mySGP,ADP_mySGP,POS_mySGP,Ottoneu ID,Ottoneu Positions,Name,OBP_mySGP,TB_mySGP,SLG_mySGP,Pos Place_mySGP,R_SGP_raw_mySGP,HR_SGP_raw_mySGP,OBP_SGP_raw_mySGP,SLG_SGP_raw_mySGP,TOTAL_SGP_raw_mySGP,R_SGP_repl_mySGP,Repl_Pos_mySGP,R_SGP_norm_mySGP,HR_SGP_repl_mySGP,HR_SGP_norm_mySGP,OBP_SGP_repl_mySGP,OBP_SGP_norm_mySGP,SLG_SGP_repl_mySGP,SLG_SGP_norm_mySGP,TOTAL_SGP_mySGP,TOTAL_SGP_Rank_mySGP,TOTAL_SGP_Val_mySGP,R_SGP_Val_mySGP,HR_SGP_Val_mySGP,OBP_SGP_Val_mySGP,SLG_SGP_Val_mySGP,W_mySGP,L_mySGP,QS_mySGP,GS_mySGP,SV_mySGP,HLD_mySGP,IP_mySGP,TBF_mySGP,ER_mySGP,SO_mySGP,HR9_mySGP,ERA_mySGP,WHIP_mySGP,SO_SGP_raw_mySGP,HR9_SGP_raw_mySGP,ERA_SGP_raw_mySGP,WHIP_SGP_raw_mySGP,SO_SGP_repl_mySGP,SO_SGP_norm_mySGP,HR9_SGP_repl_mySGP,HR9_SGP_norm_mySGP,ERA_SGP_repl_mySGP,ERA_SGP_norm_mySGP,WHIP_SGP_repl_mySGP,WHIP_SGP_norm_mySGP,SO_SGP_Val_mySGP,HR9_SGP_Val_mySGP,ERA_SGP_Val_mySGP,WHIP_SGP_Val_mySGP,POS_FGAV,ADP_FGAV,PA_FGAV,mR_FGAV,mHR_FGAV,mOBP_FGAV,mSLG_FGAV,PTS_FGAV,aPOS_FGAV,Dollars_FGAV,NameASCII_FGAV,MLBAMID_FGAV,IP_FGAV,mERA_FGAV,mWHIP_FGAV,mSO_FGAV,Dollars_Vibbot,Ottoneu_Avg,Ottoneu_Med,Ottoneu_Min,Ottoneu_Max,Ottoneu_L10,Roster%,TeamID,Team Name,Salary
10441,,,,,,,,,,,,,,,,,,12453,1B,Jon Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B/DH,999.0,19.5058,-25.995436628322544,-19.086301823124543,-0.3463858700454583,-0.6225466426514273,-46.05067096414398,13.42990161617302,-31.620769347970956,Jon Singleton,572138.0,,,,,,,,,,,,,,
10472,,,,,,,,,,,,,,,,,,11508,1B/2B/3B/OF/RP,Enrique Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B/2B/3B/OF,738.3300170898438,253.391,-16.85445425441566,-13.63163486456776,-5.781619543633962,-6.6270899097767595,-42.894798572394144,18.156180408517137,-23.738618163877007,Enrique Hernandez,571771.0,,,,,,3.0,3.0,3.0,3.0,1.9,12.5,,,
10603,ATL,27.125400000000003,,,134.5064,,,,18.167160000000003,64.17028,,45.15588,7.68322,,3.827484,34.709999084472656,['SP'],14393,SP,Chris Sale,,,,7.0,,,,,6.198589446647534,,SP,,,,,,,,5.365392393856595,8.0,25.523799796613087,,,,,11.71956,7.41964,15.90444,27.125400000000003,0.0,0.0,163.142,662.2784,58.60468,195.7844,1.0022216228806808,3.2330247269250103,1.1012631940272892,4.119805176679292,0.5507645472087114,0.7484353781877163,0.7795843445718145,1.8304029911828572,2.289402185496435,-0.4100188658947834,0.9607834131034948,-0.3528134835217322,1.1012488617094487,-0.2343735889754022,1.0139579335472169,28.424790978176308,17.046043106091957,25.4345291641898,37.544083955650216,SP,34.86000061035156,,,-6.477196926710721,,,28.73527166081999,17.438467205185578,47.17373886600557,Chris Sale,519242.0,168.535,9.965180906328346,14.697648673777792,10.549639007424576,35.7,23.04,23.0,14.0,31.0,16.4,100.0,112.0,Hornswogglers,17.0
10642,,,,,,,,,,,,,,,,,,9791,C,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,999.0,9.3016,-26.37113823588688,-19.321853333962665,-0.2262895227913009,-0.1923476958277899,-46.11162878846865,29.39278180200713,-15.718846986461518,Carlos Perez,542208.0,,,,,,,,,,,,,,
10681,,,,,,,,,,,,,,,,,,10002,3B,Gio Urshela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3B,999.0,152.402,-20.82179033795469,-16.91439600439097,-2.1715380170959167,-3.62356352580021,-43.53128788524178,13.41484422247035,-29.11644366277143,Gio Urshela,570482.0,,,,,,,,,,,,,,
10815,ATL,144.9268,627.0208,543.688,134.12400000000002,90.24152,26.13876,0.9920016,16.75172,74.90344,67.43155999999999,69.00872,9.14104,4.58134,1.1978106,183.52000427246097,['OF'],13702,OF,Jurickson Profar,0.3388685945240176,212.5019248,0.3908527037565662,201.0,2.962657498478736,1.4556076524278962,0.2944413391433579,-0.3807534411778046,4.331953048872186,2.2542982928583335,OF,0.7083592056204027,0.95834673618109,0.4972609162468062,-0.1959283330111939,0.4903696721545518,-0.3583330628058189,-0.0224203783719856,1.6735694156497751,94.0,10.626996983293315,13.65547845676708,8.636084310243321,26.113515172898506,-0.7627637249780592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,183.63999938964844,601.914,2.934834258220178,-2.931184610973645,4.085066829410698,-6.819918329106169,-2.731201852448939,19.399045094560073,17.667843242111136,Jurickson Profar,595777.0,,,,,15.0,5.88,5.5,3.0,10.0,4.3,100.0,241.0,🦫 Beavers in Scoring Position!,10.0
10950,,,,,,,,,,,,,,,,,,13750,Util,Adam Duvall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,999.0,12.4233,-26.266776675651176,-19.183310005736473,-0.3869200108449424,-0.265723951422337,-46.10273064365492,19.399045094560073,-25.70368554909485,Adam Duvall,594807.0,,,,,,,,,,,,,,
10954,TEX,28.1626,,,136.7672,,,,22.47476,67.5104,,42.92044,6.140732,,3.581484,47.349998474121094,['SP'],14294,SP,Jacob DeGrom,,,,13.0,,,,,5.469196886690004,,SP,,,,,,,,4.635999833899064,17.0,22.053993991764305,,,,,12.16644,7.737944,15.74992,28.1626,0.0,0.0,168.076,678.9252,61.82156,187.2124,1.203460577357862,3.3103717365953496,1.0690856517289795,3.939428343926044,-0.1282473243625383,0.6913714208919258,0.9666444462345728,1.8304029911828572,2.1090253527431866,-0.4100188658947834,0.281771541532245,-0.3528134835217322,1.0441849044136582,-0.2343735889754022,1.201018035209975,26.18526583017145,4.999139012520863,24.116575578466325,44.470406960994126,SP,46.560001373291016,,,-11.30708491953317,,,15.923025605463955,17.438467205185578,34.36149281064954,Jacob deGrom,594798.0,174.797,1.7196932789890764,15.265742122156402,10.244675123851646,27.1,17.67,18.0,10.0,24.0,11.2,100.0,236.0,Yoshi Teddy Bear,19.0
11156,ARI,30.0128,,,173.0996,,,,23.552999999999997,90.89956,,56.50876,6.619268,,2.06947,229.89999389648443,['SP'],17763,SP,Merrill Kelly,,,,72.0,,,,,2.9904718084919986,,SP,,,,,,,,2.157274755701059,86.0,10.262408586154365,,,,,11.0746,10.016672,14.95776,30.0128,0.0,0.0,179.5796,760.3408,83.3396,159.2156,1.180406905906907,4.176734996625452,1.2785882138060225,3.3503039725744204,-0.0517406252992464,-0.1896448075251715,-0.1184467312580039,1.8304029911828572,1.5199009813915632,-0.4100188658947834,0.358278240595537,-0.3528134835217322,0.1631686759965606,-0.2343735889754022,0.1159268577173983,18.87080739997289,6.356506835852757,3.7685564022963938,4.292453892668362,SP,230.30999755859375,,,-11.797845240384344,,,-43.04595921854676,17.438467205185578,-24.607492013361185,Merrill Kelly,518876.0,185.122,-19.909852997400954,-18.171388837729424,6.833127856967963,7.3,6.09,5.5,3.0,15.0,2.3,91.667,236.0,Yoshi Teddy Bear,7.0
11200,,,,,,,,,,,,,,,,,,14565,Util,Kole Calhoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,999.0,4.98009,-26.57172270819,-19.506670683673494,-0.1166625187585682,-0.1356747294188422,-46.330730640040905,19.399045094560073,-25.931685545480825,Kole Calhoun,594777.0,,,,,,,,,,,,,,
